Reaction,log_fc,p_value,adj_p_val,Fluxes
10FTHF5GLUtl,0.0,1.0,1.0,Unchanged
10FTHF5GLUtm,0.0,1.0,1.0,Unchanged
10FTHF6GLUtl,0.0,1.0,1.0,Unchanged
10FTHF6GLUtm,0.0,1.0,1.0,Unchanged
10FTHF7GLUtl,0.0,1.0,1.0,Unchanged
10FTHF7GLUtm,0.0,1.0,1.0,Unchanged
10FTHFtl,0.0,1.0,1.0,Unchanged
10FTHFtm,-6.5740553921681935,0.04762763388450043,0.5686584778877939,Unchanged
11DOCRTSLtm,0.0,1.0,1.0,Unchanged
11DOCRTSLtr,0.0,1.0,1.0,Unchanged
11DOCRTSTRNtm,0.0,1.0,1.0,Unchanged
11DOCRTSTRNtr,0.0,1.0,1.0,Unchanged
12HPETATP,7.832761831993297e-05,0.4488598208640492,1.0,Unchanged
12HPETUPKt,0.0,1.0,1.0,Unchanged
13DAMPPOX,0.0,1.0,1.0,Unchanged
15HPETATP,-0.7827582249904874,0.6411858797379664,1.0,Unchanged
15HPETUPKt,0.0,1.0,1.0,Unchanged
15KPROSTGF2c,0.0,1.0,1.0,Unchanged
15KPROSTGF2t,0.0,1.0,1.0,Unchanged
1a_24_25VITD3Hm,0.0003478099992719014,1.774986653735669e-05,0.004567040660061876,Unchanged
1a_25VITD3Hm,0.0005416084304655108,5.522195147978124e-06,0.001776076014468464,Unchanged
1a25DHVITD3TRn,0.0010458341861882305,1.615888505233731e-06,0.0010394202809915975,Unchanged
1MNCAMti,0.0,1.0,1.0,Unchanged
1PPDCRp,-7.530444074601154e-05,0.8157453387131137,1.0,Unchanged
21HPRGNLONE,0.0,1.0,1.0,Unchanged
21HPRGNLONEt1,0.0,1.0,1.0,Unchanged
21HPRGNLONEt2,0.0,1.0,1.0,Unchanged
24_25DHVITD3t,0.0,1.0,1.0,Unchanged
24_25DHVITD3tm,0.0,1.0,1.0,Unchanged
24_25VITD3Hm,0.0003478099992719014,1.774986653735669e-05,0.004567040660061876,Unchanged
25DHBDH,0.0,1.0,1.0,Unchanged
25DHBO,0.0,1.0,1.0,Unchanged
25HVITD3c,0.0010458341861882305,1.615888505233731e-06,0.0010394202809915975,Unchanged
25HVITD3t,0.00019922795872184145,0.3126120479134944,1.0,Unchanged
25HVITD3tm,-0.0008418743801941547,0.0001527311087036706,0.010089151286436943,Unchanged
25VITD3Hm,0.0005416084304655108,5.522195147978124e-06,0.001776076014468464,Unchanged
2AMACHYD,0.0018952122981408033,0.12986499204150967,1.0,Unchanged
2AMACSULT,1.3157438798660694,0.6551472923002998,1.0,Unchanged
2AMADPTm,-0.005244295160645388,0.8007016948682525,1.0,Unchanged
2AOBUTtm,0.005937622634397608,0.4488598208640492,1.0,Unchanged
2DR1PP,-3.0481654952236865,0.26005265931492216,1.0,Unchanged
2H3MVc,0.0,1.0,1.0,Unchanged
2H3MVte,0.0,1.0,1.0,Unchanged
2HBO,6.797523249254957e-05,0.8157453387131137,1.0,Unchanged
2HBPPAte,3.774098293422238,0.9767628343613342,1.0,Unchanged
2HBRETNte,-1.5895077285946204,0.9922533045505789,1.0,Unchanged
2HIVc,0.0,1.0,1.0,Unchanged
2HIVte,0.0,1.0,1.0,Unchanged
2HYOXPLCte,0.002050014646013382,0.8007016948682525,1.0,Unchanged
2M3HBUc,0.0,1.0,1.0,Unchanged
2M3HBUte,0.0,1.0,1.0,Unchanged
2M3HBUtm,0.0,1.0,1.0,Unchanged
2M3HVACc,0.0,1.0,1.0,Unchanged
2M3HVACte,0.0,1.0,1.0,Unchanged
2M3OVACm,0.0,1.0,1.0,Unchanged
2M3OVACtm,0.0,1.0,1.0,Unchanged
