Reaction,log_fc,p_value,adj_p_val,Fluxes
10FTHF5GLUtl,0.0,1.0,1.0,Unchanged
10FTHF5GLUtm,0.0,1.0,1.0,Unchanged
10FTHF6GLUtl,0.0,1.0,1.0,Unchanged
10FTHF6GLUtm,0.0,1.0,1.0,Unchanged
10FTHF7GLUtl,0.0,1.0,1.0,Unchanged
10FTHF7GLUtm,0.0,1.0,1.0,Unchanged
10FTHFtl,0.0,1.0,1.0,Unchanged
10FTHFtm,-0.01445786166377539,0.34245359251361285,1.0,Unchanged
11DOCRTSLtm,1.0066162684246098,0.4575103218258705,1.0,Unchanged
11DOCRTSLtr,1.0066162684246098,0.4575103218258705,1.0,Unchanged
11DOCRTSTRNtm,1.063229740095345,0.3269455537631337,1.0,Unchanged
11DOCRTSTRNtr,1.063229740095345,0.3269455537631337,1.0,Unchanged
12HPETATP,0.0,1.0,1.0,Unchanged
12HPETUPKt,0.0,1.0,1.0,Unchanged
13DAMPPOX,0.0,1.0,1.0,Unchanged
15HPETATP,0.0,1.0,1.0,Unchanged
15HPETUPKt,0.0,1.0,1.0,Unchanged
15KPROSTGF2c,0.0,1.0,1.0,Unchanged
15KPROSTGF2t,0.0,1.0,1.0,Unchanged
1a_24_25VITD3Hm,0.0,1.0,1.0,Unchanged
1a_25VITD3Hm,0.0,1.0,1.0,Unchanged
1a25DHVITD3TRn,0.0,1.0,1.0,Unchanged
1MNCAMti,0.0,1.0,1.0,Unchanged
1PPDCRp,0.970939584158499,0.4701007598741286,1.0,Unchanged
21HPRGNLONE,0.0,1.0,1.0,Unchanged
21HPRGNLONEt1,0.0,1.0,1.0,Unchanged
21HPRGNLONEt2,0.0,1.0,1.0,Unchanged
24_25DHVITD3t,0.0,1.0,1.0,Unchanged
24_25DHVITD3tm,0.0,1.0,1.0,Unchanged
24_25VITD3Hm,0.0,1.0,1.0,Unchanged
25DHBDH,0.0,1.0,1.0,Unchanged
25DHBO,0.0,1.0,1.0,Unchanged
25HVITD3c,0.0,1.0,1.0,Unchanged
25HVITD3t,2.23102583141686,0.07257900615022346,0.7045872057729559,Unchanged
25HVITD3tm,-0.05979617451478166,0.10086236377893393,0.8953261880650574,Unchanged
25VITD3Hm,0.0,1.0,1.0,Unchanged
2AMACHYD,-0.2697699447633702,0.6424002779116318,1.0,Unchanged
2AMACSULT,0.0002398290385593525,0.47646704794698846,1.0,Unchanged
2AMADPTm,1.3272788270117436e-06,0.8123991531268748,1.0,Unchanged
2AOBUTtm,1.839850985578516,0.0020333501167470267,0.050655144097667276,Unchanged
2DR1PP,1.0714941625863972,0.9917669449474061,1.0,Unchanged
2H3MVc,0.0,1.0,1.0,Unchanged
2H3MVte,0.0,1.0,1.0,Unchanged
2HBO,0.0,1.0,1.0,Unchanged
2HBPYRte,0.039380564893220796,0.8123991531268748,1.0,Unchanged
2HBt2,0.0,1.0,1.0,Unchanged
2HIVc,0.0,1.0,1.0,Unchanged
2HIVte,0.0,1.0,1.0,Unchanged
2HYOXPLCte,-0.44596683677412885,0.06180382602689022,0.6245439261664696,Unchanged
2M3HBUc,0.0,1.0,1.0,Unchanged
2M3HBUte,0.0,1.0,1.0,Unchanged
2M3HBUtm,0.0,1.0,1.0,Unchanged
2M3HVACc,-1.0169779592645851,0.8445655827873272,1.0,Unchanged
2M3HVACte,-1.0169779592645851,0.8445655827873272,1.0,Unchanged
2M3OVACm,-1.0169779592645851,0.8445655827873272,1.0,Unchanged
2M3OVACtm,-1.0169779592645851,0.8445655827873272,1.0,Unchanged
2M3OVCOAm,-1.0169779592645851,0.8445655827873272,1.0,Unchanged
2MCITt,-1.980346808394167,0.14568337426187797,1.0,Unchanged
