Collateral,RxnToDelete,normalModel,cancerModel,Cancer
ADK1,ADK3,CN10,CT1,CN
ADK1,ADK3,CN10,CT11,CN
ADK1,ADK3,CN10,CT12,CN
ADK1,ADK3,CN10,CT15,CN
ADK1,ADK3,CN10,CT16,CN
ADK1,ADK3,CN10,CT17,CN
ADK1,ADK3,CN10,CT2,CN
ADK1,ADK3,CN10,CT20,CN
ADK1,ADK3,CN10,CT22,CN
ADK1,ADK3,CN10,CT23,CN
ADK1,ADK3,CN10,CT24,CN
ADK1,ADK3,CN10,CT25,CN
ADK1,ADK3,CN10,CT26,CN
ADK1,ADK3,CN10,CT27,CN
ADK1,ADK3,CN10,CT28,CN
ADK1,ADK3,CN10,CT29,CN
ADK1,ADK3,CN10,CT30,CN
ADK1,ADK3,CN10,CT4,CN
ADK1,ADK3,CN10,CT5,CN
ADK1,ADK3,CN10,CT6,CN
ADK1,ADK3,CN10,CT9,CN
ADK1,ADK3,CN11,CT1,CN
ADK1,ADK3,CN11,CT11,CN
ADK1,ADK3,CN11,CT12,CN
ADK1,ADK3,CN11,CT15,CN
ADK1,ADK3,CN11,CT16,CN
ADK1,ADK3,CN11,CT17,CN
ADK1,ADK3,CN11,CT2,CN
ADK1,ADK3,CN11,CT20,CN
ADK1,ADK3,CN11,CT22,CN
ADK1,ADK3,CN11,CT23,CN
ADK1,ADK3,CN11,CT24,CN
ADK1,ADK3,CN11,CT25,CN
ADK1,ADK3,CN11,CT26,CN
ADK1,ADK3,CN11,CT27,CN
ADK1,ADK3,CN11,CT28,CN
ADK1,ADK3,CN11,CT29,CN
ADK1,ADK3,CN11,CT30,CN
ADK1,ADK3,CN11,CT4,CN
ADK1,ADK3,CN11,CT5,CN
ADK1,ADK3,CN11,CT6,CN
ADK1,ADK3,CN11,CT9,CN
ADK1,ADK3,CN13,CT1,CN
ADK1,ADK3,CN13,CT11,CN
ADK1,ADK3,CN13,CT12,CN
ADK1,ADK3,CN13,CT15,CN
ADK1,ADK3,CN13,CT16,CN
ADK1,ADK3,CN13,CT17,CN
ADK1,ADK3,CN13,CT2,CN
ADK1,ADK3,CN13,CT20,CN
ADK1,ADK3,CN13,CT22,CN
ADK1,ADK3,CN13,CT23,CN
ADK1,ADK3,CN13,CT24,CN
ADK1,ADK3,CN13,CT25,CN
ADK1,ADK3,CN13,CT26,CN
ADK1,ADK3,CN13,CT27,CN
ADK1,ADK3,CN13,CT28,CN
ADK1,ADK3,CN13,CT29,CN
ADK1,ADK3,CN13,CT30,CN
ADK1,ADK3,CN13,CT4,CN
ADK1,ADK3,CN13,CT5,CN
ADK1,ADK3,CN13,CT6,CN
ADK1,ADK3,CN13,CT9,CN
ADK1,ADK3,CN14,CT1,CN
ADK1,ADK3,CN14,CT11,CN
ADK1,ADK3,CN14,CT12,CN
ADK1,ADK3,CN14,CT15,CN
ADK1,ADK3,CN14,CT16,CN
ADK1,ADK3,CN14,CT17,CN
ADK1,ADK3,CN14,CT2,CN
ADK1,ADK3,CN14,CT20,CN
ADK1,ADK3,CN14,CT22,CN
ADK1,ADK3,CN14,CT23,CN
ADK1,ADK3,CN14,CT24,CN
ADK1,ADK3,CN14,CT25,CN
ADK1,ADK3,CN14,CT26,CN
ADK1,ADK3,CN14,CT27,CN
ADK1,ADK3,CN14,CT28,CN
ADK1,ADK3,CN14,CT29,CN
ADK1,ADK3,CN14,CT30,CN
ADK1,ADK3,CN14,CT4,CN
ADK1,ADK3,CN14,CT5,CN
ADK1,ADK3,CN14,CT6,CN
ADK1,ADK3,CN14,CT9,CN
ADK1,ADK3,CN15,CT1,CN
ADK1,ADK3,CN15,CT11,CN
ADK1,ADK3,CN15,CT12,CN
ADK1,ADK3,CN15,CT15,CN
ADK1,ADK3,CN15,CT16,CN
ADK1,ADK3,CN15,CT17,CN
ADK1,ADK3,CN15,CT2,CN
ADK1,ADK3,CN15,CT20,CN
ADK1,ADK3,CN15,CT22,CN
ADK1,ADK3,CN15,CT23,CN
ADK1,ADK3,CN15,CT24,CN
ADK1,ADK3,CN15,CT25,CN
ADK1,ADK3,CN15,CT26,CN
ADK1,ADK3,CN15,CT27,CN
ADK1,ADK3,CN15,CT28,CN
ADK1,ADK3,CN15,CT29,CN
ADK1,ADK3,CN15,CT30,CN
ADK1,ADK3,CN15,CT4,CN
ADK1,ADK3,CN15,CT5,CN
ADK1,ADK3,CN15,CT6,CN
ADK1,ADK3,CN15,CT9,CN
ADK1,ADK3,CN17,CT1,CN
ADK1,ADK3,CN17,CT11,CN
ADK1,ADK3,CN17,CT12,CN
ADK1,ADK3,CN17,CT15,CN
ADK1,ADK3,CN17,CT16,CN
ADK1,ADK3,CN17,CT17,CN
ADK1,ADK3,CN17,CT2,CN
ADK1,ADK3,CN17,CT20,CN
ADK1,ADK3,CN17,CT22,CN
ADK1,ADK3,CN17,CT23,CN
ADK1,ADK3,CN17,CT24,CN
ADK1,ADK3,CN17,CT25,CN
ADK1,ADK3,CN17,CT26,CN
ADK1,ADK3,CN17,CT27,CN
ADK1,ADK3,CN17,CT28,CN
ADK1,ADK3,CN17,CT29,CN
ADK1,ADK3,CN17,CT30,CN
ADK1,ADK3,CN17,CT4,CN
ADK1,ADK3,CN17,CT5,CN
ADK1,ADK3,CN17,CT6,CN
ADK1,ADK3,CN17,CT9,CN
ADK1,ADK3,CN18,CT1,CN
ADK1,ADK3,CN18,CT11,CN
ADK1,ADK3,CN18,CT12,CN
ADK1,ADK3,CN18,CT15,CN
ADK1,ADK3,CN18,CT16,CN
ADK1,ADK3,CN18,CT17,CN
ADK1,ADK3,CN18,CT2,CN
ADK1,ADK3,CN18,CT20,CN
ADK1,ADK3,CN18,CT22,CN
ADK1,ADK3,CN18,CT23,CN
ADK1,ADK3,CN18,CT24,CN
ADK1,ADK3,CN18,CT25,CN
ADK1,ADK3,CN18,CT26,CN
ADK1,ADK3,CN18,CT27,CN
ADK1,ADK3,CN18,CT28,CN
ADK1,ADK3,CN18,CT29,CN
ADK1,ADK3,CN18,CT30,CN
ADK1,ADK3,CN18,CT4,CN
ADK1,ADK3,CN18,CT5,CN
ADK1,ADK3,CN18,CT6,CN
ADK1,ADK3,CN18,CT9,CN
ADK1,ADK3,CN18,CT1,CN
ADK1,ADK3,CN18,CT11,CN
ADK1,ADK3,CN18,CT12,CN
ADK1,ADK3,CN18,CT15,CN
ADK1,ADK3,CN18,CT16,CN
ADK1,ADK3,CN18,CT17,CN
ADK1,ADK3,CN18,CT2,CN
ADK1,ADK3,CN18,CT20,CN
ADK1,ADK3,CN18,CT22,CN
ADK1,ADK3,CN18,CT23,CN
ADK1,ADK3,CN18,CT24,CN
ADK1,ADK3,CN18,CT25,CN
ADK1,ADK3,CN18,CT26,CN
ADK1,ADK3,CN18,CT27,CN
ADK1,ADK3,CN18,CT28,CN
ADK1,ADK3,CN18,CT29,CN
ADK1,ADK3,CN18,CT30,CN
ADK1,ADK3,CN18,CT4,CN
ADK1,ADK3,CN18,CT5,CN
ADK1,ADK3,CN18,CT6,CN
ADK1,ADK3,CN18,CT9,CN
ADK1,ADK3,CN2,CT1,CN
ADK1,ADK3,CN2,CT11,CN
ADK1,ADK3,CN2,CT12,CN
ADK1,ADK3,CN2,CT15,CN
ADK1,ADK3,CN2,CT16,CN
ADK1,ADK3,CN2,CT17,CN
ADK1,ADK3,CN2,CT2,CN
ADK1,ADK3,CN2,CT20,CN
ADK1,ADK3,CN2,CT22,CN
ADK1,ADK3,CN2,CT23,CN
