CancerModel,NormalModel,DeletedReaction,Reaction,FluxCancer,FluxNormal,FluxDifference
CT17,CN3,ADK3,10FTHFtm,-0.0076100656356175,0,-0.0076100656356175
CT17,CN3,ADK3,2AOBUTtm,0.00721481402536028,NaN,NaN
CT17,CN3,ADK3,2HBACACte,-1000,1000,-2000
CT17,CN3,ADK3,2HBACte,0.240180129138707,1000,-999.759819870861
CT17,CN3,ADK3,2HBBUTte,-1000,0,-1000
CT17,CN3,ADK3,2HBFORte,1000,1000,0
CT17,CN3,ADK3,2HBLACte,-1000,-1000,0
CT17,CN3,ADK3,2HBPPAte,1000,1000,0
CT17,CN3,ADK3,2HBPYRte,999.759819870861,1000,-0.240180129138707
CT17,CN3,ADK3,2HBRETNte,-1000,-1000,0
CT17,CN3,ADK3,2HYOXPLCte,0,NaN,NaN
CT17,CN3,ADK3,34HPLFM,0,NaN,NaN
CT17,CN3,ADK3,3DPHBH1,0,NaN,NaN
CT17,CN3,ADK3,3DSPHR,0.000343551345653967,0.000329363770945825,1.41875747081424e-05
CT17,CN3,ADK3,3HAD100,0.0126952048637509,0.0106495667235227,0.00204563814022823
CT17,CN3,ADK3,3HAD120,0.0126952048637509,0.0106495667235227,0.00204563814022823
CT17,CN3,ADK3,3HAD140,0.0126952048637509,0.0106495667235227,0.00204563814022823
CT17,CN3,ADK3,3HAD40,0.0126952048637509,0.0106495667235227,0.00204563814022823
CT17,CN3,ADK3,3HAD60,0.0126952048637509,0.0106495667235227,0.00204563814022823
CT17,CN3,ADK3,3HAD80,0.0126952048637509,0.0106495667235227,0.00204563814022823
CT17,CN3,ADK3,3HLYTCL,0,0,0
CT17,CN3,ADK3,3M4HPGORx,0.00696320045756238,NaN,NaN
CT17,CN3,ADK3,3M4HPGORy,-0.00696320045756238,NaN,NaN
CT17,CN3,ADK3,3MHISt2,-0.010718346168801,-0.0102757126616098,-0.000442633507191204
CT17,CN3,ADK3,3MHISt3,0.010718346168801,-0.00488733945144304,0.015605685620244
CT17,CN3,ADK3,3MOBt2im,-0.0656740948893457,-0.0933582889583704,0.0276841940690247
CT17,CN3,ADK3,3MOBte,-0.0656740948893457,-0.0933582889583704,0.0276841940690247
CT17,CN3,ADK3,3MOPt2im,-0.0943793223741523,-0.0946114384312295,0.000232116057077292
