CancerModel,NormalModel,DeletedReaction,Reaction,FluxCancer,FluxNormal,FluxDifference
CT16,CN21,ADK3,2AMACHYD,0,0.00388996031407796,-0.00388996031407796
CT16,CN21,ADK3,ACCOAL2,0.0102489953721341,0,0.0102489953721341
CT16,CN21,ADK3,ACGAM6PSi,0.00232999693240179,0,0.00232999693240179
CT16,CN21,ADK3,ACGAMPM,0.00232999693241709,0,0.00232999693241709
CT16,CN21,ADK3,ACOAS,0.0102489953721341,0,0.0102489953721341
CT16,CN21,ADK3,ADSK,0,0.00388996031407796,-0.00388996031407796
CT16,CN21,ADK3,ALDD2y,0.0102489953721341,0,0.0102489953721341
CT16,CN21,ADK3,AMETEPMT,0,-0.00518661375213014,0.00518661375213014
CT16,CN21,ADK3,ATPtn,0,8.9543878857512e-05,-8.9543878857512e-05
CT16,CN21,ADK3,BILGLCURt,-1000,0,-1000
CT16,CN21,ADK3,BPNT,0,0.00388996031407796,-0.00388996031407796
CT16,CN21,ADK3,CDPDAGtm,-8.67428159381234e-05,0,-8.67428159381234e-05
CT16,CN21,ADK3,CDSm,8.67428159282955e-05,0,8.67428159282955e-05
CT16,CN21,ADK3,CITRtm,0.00639319327046906,0,0.00639319327046906
CT16,CN21,ADK3,CRNtim,0.000173485631856591,0,0.000173485631856591
CT16,CN21,ADK3,CRNtr,0,-1000,1000
CT16,CN21,ADK3,CTPtm,8.67428159381234e-05,0,8.67428159381234e-05
CT16,CN21,ADK3,DADK3,0,-0.216525190195398,0.216525190195398
CT16,CN21,ADK3,DINt,0,-1000,1000
CT16,CN21,ADK3,DINt3e,0,1000,-1000
CT16,CN21,ADK3,ENO,0,0.881219496916515,-0.881219496916515
CT16,CN21,ADK3,EX_fol(e),0,-0.1,0.1
CT16,CN21,ADK3,EX_glu_L(e),0.00253392952650454,0,0.00253392952650454
CT16,CN21,ADK3,EX_i(e),0,-0.011669880942236,0.011669880942236
CT16,CN21,ADK3,EX_so4(e),0,-0.00388996031404076,0.00388996031404076
CT16,CN21,ADK3,EX_thf(e),0,0.0613255678683594,-0.0613255678683594
CT16,CN21,ADK3,EX_triodthysuf(e),0,0.00388996031407796,-0.00388996031407796
CT16,CN21,ADK3,FBA,0.000334990826445392,0,0.000334990826445392
CT16,CN21,ADK3,FOLt2,0,0.100000000000023,-0.100000000000023
CT16,CN21,ADK3,G6Pt6er,0,0.077798363295301,-0.077798363295301
CT16,CN21,ADK3,G6Pter,0,-0.077798363295301,0.077798363295301
CT16,CN21,ADK3,GALt1r,166.683469560644,0,166.683469560644
CT16,CN21,ADK3,GALU,0.00232999693241709,0,0.00232999693241709
