Reaction,Subsystem
10FTHFtm,"Transport, Mitochondrial"
11DOCRTSTRNtm,"Transport, Mitochondrial"
11DOCRTSTRNtr,"Transport, Endoplasmic reticular"
2HBACACte,"Transport, Extracellular"
2HBBUTte,"Transport, Extracellular"
2HBLACte,"Transport, Extracellular"
2HBPPAte,"Transport, Extracellular"
34DHOXMANDte,"Transport, Extracellular"
34DHPHAMT,"Tyrosine metabolism"
34DHPLACOX,"Tyrosine metabolism"
34DHXMANDACOX,"Tyrosine metabolism"
34DHXMANDACOXy,"Tyrosine metabolism"
3HLYTCL,"Tyrosine metabolism"
3MOBt2im,"Transport, Mitochondrial"
3MOBte,"Transport, Extracellular"
3MOPt2im,"Transport, Mitochondrial"
3MOPte,"Transport, Extracellular"
41R2A1H12BOOX,"Tyrosine metabolism"
42A12BOOX,"Tyrosine metabolism"
4ABUTtm,"Transport, Mitochondrial"
4HPROLTASCT1,"Transport, Extracellular"
4HPRO_LTte,"Transport, Extracellular"
4MPTNLte,"Transport, Extracellular"
4MPTNLtm,"Transport, Mitochondrial"
4OHBUTm,"Glutamate metabolism"
4OHBUTtce,"Transport, Extracellular"
4OHBUTtmc,"Transport, Mitochondrial"
5AOPtm,"Transport, Mitochondrial"
5MTHFt2,"Transport, Extracellular"
ABTArm,"Glutamate metabolism"
ABUTt2r,"Transport, Extracellular"
ABUTt4_2_r,"Transport, Extracellular"
ACACT1rm,"Tryptophan metabolism"
ACALDt,"Transport, Extracellular"
ACBHBte,"Transport, Extracellular"
ACBUTte,"Transport, Extracellular"
ACCOAL2,"Fatty acid synthesis"
ACFORte,"Transport, Extracellular"
ACGAM6PSi,"Aminosugar metabolism"
ACGAMPM,"Aminosugar metabolism"
ACHtn,"Transport, Nuclear"
ACITL,"Citric acid cycle"
ACITLn,"Citric acid cycle"
ACLACte,"Transport, Extracellular"
ACOAS,"Fatty acid synthesis"
ACOD,"Unassigned"
ACONTam,"Citric acid cycle"
ACONTb,"Citric acid cycle"
ACONTbm,"Citric acid cycle"
ACRETNte,"Transport, Extracellular"
ACt2m,"Transport, Mitochondrial"
ADK1,"Nucleotide interconversions"
ADMDC,"Arginine and proline metabolism"
ADNK1,"Nucleotide salvage pathway"
ADNK3,"Nucleotide salvage pathway"
ADNt4,"Transport, Extracellular"
ADPT,"Nucleotide salvage pathway"
ADPt4,"Transport, Mitochondrial"
ADPtn,"Transport, Nuclear"
ADRNLPVESSEC,"Transport, Extracellular"
ADSK,"Nucleotide salvage pathway"
AHC,"Methionine and cysteine metabolism"
AHCYStn,"Transport, Nuclear"
AKGDa1,"Citric acid cycle"
AKGDa2,"Citric acid cycle"
AKGDb,"Citric acid cycle"
AKGGHTRDtm,"Transport, Mitochondrial"
AKGICITtm,"Transport, Mitochondrial"
AKGMALtm,"Transport, Mitochondrial"
AKGtn,"Transport, Nuclear"
ALABte,"Transport, Extracellular"
ALAR,"Alanine and aspartate metabolism"
ALASm,"Glycine, serine and threonine metabolism"
ALATA_L,"Glutamate metabolism"
ALAt4,"Transport, Extracellular"
ALCD1,"Unassigned"
ALCD21_D,"Pyruvate metabolism"
ALCD21_L,"Pyruvate metabolism"
ALCD22_D,"Pyruvate metabolism"
ALDD19x,"Phenylalanine metabolism"
ALDD19y,"Phenylalanine metabolism"
ALDD2x,"Pyruvate metabolism"
ALDD2y,"Pyruvate metabolism"
ALR2,"Pyruvate metabolism"
ALR3,"Pyruvate metabolism"
AMETEPMT,"Glycerophospholipid metabolism"
AMETt2m,"Transport, Mitochondrial"
AMETtn,"Transport, Nuclear"
ARACHDCOAtr,"Transport, Endoplasmic reticular"
ARGHIStm,"Transport, Mitochondrial"
ARGORNtm,"Transport, Mitochondrial"
ARGtm,"Transport, Mitochondrial"
ARTFR32,"R group synthesis"
ARTFR42,"R group synthesis"
ARTFR52,"R group synthesis"
ASNASNARGr,"Peptide metabolism"
ASNASNARGt,"Transport, Extracellular"
ASNt4,"Transport, Extracellular"
ASP1DC,"B-alanine metabolism"
ASPGLUm,"Transport, Mitochondrial"
ASPPROASCT1,"Transport, Extracellular"
ASPTAm,"Alanine and aspartate metabolism"
ASPt6,"Transport, Extracellular"
ATP1ter,"Transport, Endoplasmic reticular"
ATPtm,"Transport, Mitochondrial"
ATPtn,"Transport, Nuclear"
BAMPPALDOX,"B-alanine metabolism"
BHB2HBte,"Transport, Extracellular"
BHBACACte,"Transport, Extracellular"
BHBRETNte,"Transport, Extracellular"
BILDGLCURt,"Transport, Extracellular"
BILDGLCURtr,"Transport, Endoplasmic reticular"
BILGLCURt,"Transport, Extracellular"
BILGLCURt5e,"Transport, Extracellular"
BILGLCURtr,"Transport, Endoplasmic reticular"
BILIRED,"Heme synthesis"
BILIRED2,"Heme synthesis"
BILIRUBtr,"Transport, Endoplasmic reticular"
BPNT,"Nucleotide salvage pathway"
BUTACACte,"Transport, Extracellular"
BUTBHBte,"Transport, Extracellular"
C204CPT1,"Carnitine metabolism"
CAATPS,"Transport, Extracellular"
CAt7r,"Transport, Extracellular"
CAtm7,"Transport, Mitochondrial"
CBPPer,"Glycolysis/Gluconeogenesis"
CBPSam,"Glutamate metabolism"
CBPter,"Transport, Endoplasmic reticular"
CDPDAGtm,"Transport, Mitochondrial"
CDPRBTLtg,"Unknown"
CDPtg,"Unknown"
CDS,"Glycerophospholipid metabolism"
CDSm,"Glycerophospholipid metabolism"
CEPTC,"Glycerophospholipid metabolism"
CHAT,"Glycerophospholipid metabolism"
CHATn,"Glycerophospholipid metabolism"
CHLPCTD,"Glycerophospholipid metabolism"
CHLtm,"Transport, Mitochondrial"
CHOLATEt,"Transport, Extracellular"
CHOLATEt2,"Transport, Extracellular"
CHOLPtr,"Transport, Extracellular"
CHOLtn,"Transport, Nuclear"
CHOLtu,"Transport, Extracellular"
CHSTEROLt2,"Transport, Mitochondrial"
CITMCOAHm,"Pyruvate metabolism"
CITMCOALm,"Pyruvate metabolism"
CITRte,"Transport, Extracellular"
CITRtm,"Transport, Mitochondrial"
CITt4_2,"Transport, Extracellular"
CITt4_3,"Transport, Extracellular"
CITte,"Transport, Extracellular"
CITtn,"Transport, Nuclear"
CLCFTRte,"Transport, Extracellular"
CLFORtex,"Transport, Extracellular"
CLFORtex2,"Transport, Extracellular"
CLHCO3tex2,"Transport, Extracellular"
CLHCOtex,"Transport, Extracellular"
CLOHtex2,"Transport, Extracellular"
CLOXAtex2,"Transport, Extracellular"
CO2t,"Transport, Extracellular"
CO2tg,"Unknown"
CO2tn,"Transport, Nuclear"
COAtm,"Transport, Mitochondrial"
COt,"Transport, Extracellular"
CPPPGO,"Heme synthesis"
CRNtHa,"Transport, Extracellular"
CRNtim,"Transport, Mitochondrial"
CRNtuNa,"Transport, Extracellular"
CRTSTRNt,"Transport, Extracellular"
CRTSTRNtm,"Transport, Mitochondrial"
CSNATr,"Carnitine metabolism"
CTPtm,"Transport, Mitochondrial"
CYSGLTH,"Methionine and cysteine metabolism"
CYSRED,"Methionine and cysteine metabolism"
CYTDn,"Nucleotide salvage pathway"
CYTDt,"Transport, Extracellular"
CYTDt4,"Transport, Extracellular"
CYTDtn,"Transport, Nuclear"
CYTK3,"Nucleotide interconversions"
DADK3,"Nucleotide interconversions"
DAGt,"Transport, Extracellular"
DALAOXx,"Miscellaneous"
DALAxt,"Transport, Peroxisomal"
DASCBR,"Vitamin C metabolism"
DESAT16_1,"Fatty acid desaturation"
DESAT18_1,"Fatty acid desaturation"
DGCHOLt2e,"Transport, Extracellular"
DGCHOLte,"Transport, Extracellular"
DHCR241r,"Cholesterol metabolism"
DHCR242r,"Cholesterol metabolism"
DHCRD1,"Sphingolipid metabolism"
DHCRD2,"Sphingolipid metabolism"
DHFRx,"Folate metabolism"
DHPR,"Tetrahydrobiopetrin metabolism"
DHPRy,"Tetrahydrobiopetrin metabolism"
DINt,"Transport, Extracellular"
DINt3e,"Transport, Extracellular"
DKMPPD1,"Methionine and cysteine metabolism"
DKMPPD3,"Methionine and cysteine metabolism"
DLD,"Glycine, serine and threonine metabolism"
DM_adystroglycan,"Unknown"
DOLMANP_ter,"Transport, Endoplasmic reticular"
DOLPMT,"N-glycan synthesis"
DOLPOMTr,"Unknown"
DOLP_ter,"Transport, Endoplasmic reticular"
DOPABMO,"Tyrosine metabolism"
DOPASFt,"Transport, Extracellular"
DOPASULT,"Tyrosine metabolism"
DOPAt4_2_r,"Transport, Extracellular"
DOPAtu,"Transport, Extracellular"
DRPA,"Pentose phosphate pathway"
DURIK1,"Nucleotide salvage pathway"
DUTCP,"Nucleotide salvage pathway"
EBP2r,"Cholesterol metabolism"
ENO,"Glycolysis/Gluconeogenesis"
ETHP,"Glycerophospholipid metabolism"
EX_34dhoxmand(e),"Exchange/Demand"
