CancerModel,NormalModel,DeletedReaction,Reaction,FluxCancer,FluxNormal,FluxDifference
LIT6,LIN29,CYOR_u10m,2HBBUTte,0,-1000,1000
LIT6,LIN29,CYOR_u10m,2HBLACte,-1000,0,-1000
LIT6,LIN29,CYOR_u10m,34HPPOR,0,0.00212349726628237,-0.00212349726628237
LIT6,LIN29,CYOR_u10m,ACACPYRtm,0,0.0021234972663251,-0.0021234972663251
LIT6,LIN29,CYOR_u10m,ACBUTte,1000,0,1000
LIT6,LIN29,CYOR_u10m,ACONTa,-0.00129094387250461,0,-0.00129094387250461
LIT6,LIN29,CYOR_u10m,ACONTb,0.00129094387250461,0,0.00129094387250461
LIT6,LIN29,CYOR_u10m,ACRETNte,999.922494292388,0,999.922494292388
LIT6,LIN29,CYOR_u10m,ADNt,0,-1000,1000
LIT6,LIN29,CYOR_u10m,ADNt4,0,1000,-1000
LIT6,LIN29,CYOR_u10m,AGTim,0,0.00827967128952643,-0.00827967128952643
LIT6,LIN29,CYOR_u10m,AGTix,0.0765112096518035,0,0.0765112096518035
LIT6,LIN29,CYOR_u10m,ALCD1,-0.0571727525551751,0,-0.0571727525551751
LIT6,LIN29,CYOR_u10m,ALCD21_D,0,999.895651534298,-999.895651534298
LIT6,LIN29,CYOR_u10m,ASNt4,0.000515977205928586,0,0.000515977205928586
LIT6,LIN29,CYOR_u10m,BHBRETNte,-999.899986898367,0,-999.899986898367
LIT6,LIN29,CYOR_u10m,C30CPT1,0.00448741915465689,0,0.00448741915465689
LIT6,LIN29,CYOR_u10m,CSNAT2m,0.00448741915466122,0,0.00448741915466122
LIT6,LIN29,CYOR_u10m,CSNATr,0,0.00193157326600613,-0.00193157326600613
LIT6,LIN29,CYOR_u10m,CYSt4,8.59980475889349e-05,0,8.59980475889349e-05
LIT6,LIN29,CYOR_u10m,DAD2te,0,1000,-1000
LIT6,LIN29,CYOR_u10m,DADNt4,0,-1000,1000
LIT6,LIN29,CYOR_u10m,DCYTt,0,-1000,1000
LIT6,LIN29,CYOR_u10m,DCYTte,0,1000,-1000
LIT6,LIN29,CYOR_u10m,DGSNt,0,-1000,1000
LIT6,LIN29,CYOR_u10m,DGSNte,0,1000,-1000
LIT6,LIN29,CYOR_u10m,EX_cit(e),0.00129094387250461,0,0.00129094387250461
LIT6,LIN29,CYOR_u10m,EX_h2o2(e),0.0201322378557566,0,0.0201322378557566
LIT6,LIN29,CYOR_u10m,EX_oxa(e),0.161873514121012,0,0.161873514121012
LIT6,LIN29,CYOR_u10m,EX_ppiogly(e),0.00683732212963674,0,0.00683732212963674
LIT6,LIN29,CYOR_u10m,FBA,0.000961850057706215,0,0.000961850057706215
LIT6,LIN29,CYOR_u10m,FBA3,0,0.000466865163616603,-0.000466865163616603
LIT6,LIN29,CYOR_u10m,FDH,0,0.100011839332103,-0.100011839332103
LIT6,LIN29,CYOR_u10m,FTCD,0.000416955082634917,0,0.000416955082634917
LIT6,LIN29,CYOR_u10m,FUMAC,0,0.00212349726628237,-0.00212349726628237
LIT6,LIN29,CYOR_u10m,GCALDD,0.0765112096518035,0,0.0765112096518035
LIT6,LIN29,CYOR_u10m,GluForTx,0.000416955082634917,0,0.000416955082634917
LIT6,LIN29,CYOR_u10m,GLXO2p,0.161873514121012,0,0.161873514121012
LIT6,LIN29,CYOR_u10m,GLXtm,0,0.00827967128952878,-0.00827967128952878
LIT6,LIN29,CYOR_u10m,GLXtp,0,-0.00827967128952878,0.00827967128952878
LIT6,LIN29,CYOR_u10m,GLYC3Ptmc,0,-0.000442549061062891,0.000442549061062891
LIT6,LIN29,CYOR_u10m,GLYOp,0.161079733361835,0,0.161079733361835
LIT6,LIN29,CYOR_u10m,GLYt4,0,999.983029636526,-999.983029636526
LIT6,LIN29,CYOR_u10m,GPAMm_hs,0,0.000442549061099247,-0.000442549061099247
LIT6,LIN29,CYOR_u10m,H2O2tp,-0.0773049904109939,0,-0.0773049904109939
LIT6,LIN29,CYOR_u10m,HEX1,0,0.000402313687501061,-0.000402313687501061
