Reaction,Subsystem
2AMACHYD,"Glycine, serine and threonine metabolism"
2HBLACte,"Transport, Extracellular"
2HBPPAte,"Transport, Extracellular"
2MCITt,"Transport, Extracellular"
335TRITHYRt5e,"Transport, Extracellular"
34DHOXPEGOX,"Tyrosine metabolism"
34DHOXPEGt,"Transport, Extracellular"
34HPPOR,"Tyrosine metabolism"
3AIB_Dtm,"Transport, Mitochondrial"
3HAD100m,"Fatty acid oxidation"
3HAD140m,"Fatty acid oxidation"
3HAD60m,"Fatty acid oxidation"
3HAD80m,"Fatty acid oxidation"
3HAO,"Tryptophan metabolism"
3HDH100m,"Fatty acid oxidation"
3HDH140m,"Fatty acid oxidation"
3HDH60m,"Fatty acid oxidation"
3HDH80m,"Fatty acid oxidation"
3HGLUTCOAm,"Lysine metabolism"
3HLYTCL,"Tyrosine metabolism"
3M2OPLOXRD,"Valine, leucine and isoleucine metabolism"
3OHGLUTACOAT3t,"Transport, Extracellular"
3OHGLUTACm,"Lysine metabolism"
3OHGLUTACtm,"Transport, Mitochondrial"
41R2A1H12BOOX,"Tyrosine metabolism"
56DTHMtm,"Transport, Mitochondrial"
5AOPtm,"Transport, Mitochondrial"
AASAD3,"Lysine metabolism"
ABUTt2r,"Transport, Extracellular"
ABUTt4_2_r,"Transport, Extracellular"
ACACFORte,"Transport, Extracellular"
ACACPYRte,"Transport, Extracellular"
ACACPYRtm,"Transport, Mitochondrial"
ACACT100m,"Fatty acid oxidation"
ACACT140m,"Fatty acid oxidation"
ACACT60m,"Fatty acid oxidation"
ACACT80m,"Fatty acid oxidation"
ACBUTte,"Transport, Extracellular"
ACCOAL2,"Fatty acid synthesis"
ACETONEt2m,"Transport, Mitochondrial"
ACOA40ORm,"Fatty acid oxidation"
ACOAD100m,"Fatty acid oxidation"
ACOAD140m,"Fatty acid oxidation"
ACOAD60m,"Fatty acid oxidation"
ACOAD80m,"Fatty acid oxidation"
ACOAS,"Fatty acid synthesis"
ACOATE100m,"Fatty acid oxidation"
ACOD,"Unassigned"
ACONTa,"Citric acid cycle"
ACONTb,"Citric acid cycle"
ACONTbm,"Citric acid cycle"
ACPPAte,"Transport, Extracellular"
ACRETNte,"Transport, Extracellular"
ACTLMO,"Pyruvate metabolism"
ACTNMO,"Pyruvate metabolism"
ACt2m,"Transport, Mitochondrial"
ADCim,"Propanoate metabolism"
ADNK1,"Nucleotide salvage pathway"
ADNt,"Transport, Extracellular"
ADNt4,"Transport, Extracellular"
ADPt4,"Transport, Mitochondrial"
AGTim,"Alanine and aspartate metabolism"
AGTix,"Alanine and aspartate metabolism"
AHC,"Methionine and cysteine metabolism"
AHCYStn,"Transport, Nuclear"
AKGCITtm,"Transport, Mitochondrial"
AKGDa1,"Citric acid cycle"
AKGDa2,"Citric acid cycle"
AKGDb,"Citric acid cycle"
AKGGHTRDtm,"Transport, Mitochondrial"
AKGICITtm,"Transport, Mitochondrial"
AKGtn,"Transport, Nuclear"
AKR1C41,"Bile acid synthesis"
AKR1C42,"Bile acid synthesis"
ALASm,"Glycine, serine and threonine metabolism"
ALATA_L,"Glutamate metabolism"
ALATA_Lm,"Citric acid cycle"
ALAt2r,"Transport, Extracellular"
ALAt4,"Transport, Extracellular"
ALCD1,"Unassigned"
ALCD21_D,"Pyruvate metabolism"
ALCD21_L,"Pyruvate metabolism"
ALCD22_D,"Pyruvate metabolism"
ALCD22_L,"Pyruvate metabolism"
ALDD19x,"Phenylalanine metabolism"
ALDD19y,"Phenylalanine metabolism"
ALDD2x,"Pyruvate metabolism"
ALR2,"Pyruvate metabolism"
ALR3,"Pyruvate metabolism"
AMETtn,"Transport, Nuclear"
APAT2rm,"B-alanine metabolism"
ARGN,"Urea cycle"
ARTFR12,"R group synthesis"
ARTFR32,"R group synthesis"
ARTFR33,"R group synthesis"
ARTFR41,"R group synthesis"
ARTFR52,"R group synthesis"
ASNN,"Alanine and aspartate metabolism"
ASNt4,"Transport, Extracellular"
ASP1DC,"B-alanine metabolism"
ASPDH,"Alanine and aspartate metabolism"
ASPDTDe,"Transport, Extracellular"
ASPDt6,"Transport, Extracellular"
ASPGLUm,"Transport, Mitochondrial"
ASPTA,"Alanine and aspartate metabolism"
ASPTAm,"Alanine and aspartate metabolism"
ASPt6,"Transport, Extracellular"
ATPS4m,"Oxidative phosphorylation"
ATPt4,"Transport, Mitochondrial"
BALAtmr,"Transport, Mitochondrial"
BETALDHxm,"Glycine, serine and threonine metabolism"
BHB2HBte,"Transport, Extracellular"
BHBACACte,"Transport, Extracellular"
BHBRETNte,"Transport, Extracellular"
BHMT,"Glycine, serine and threonine metabolism"
BILDGLCURtr,"Transport, Endoplasmic reticular"
BILGLCURtr,"Transport, Endoplasmic reticular"
BILIRED,"Heme synthesis"
BILIRUBtr,"Transport, Endoplasmic reticular"
BPGP,"Glycolysis/Gluconeogenesis"
BUP2,"Nucleotide salvage pathway"
BUTRETNte,"Transport, Extracellular"
C160CPT2,"Carnitine metabolism"
C160CRNt,"Transport, Mitochondrial"
C161CPT1,"Carnitine metabolism"
C30CPT1,"Carnitine metabolism"
CACT4r,"Transport, Endoplasmic reticular"
CAT,"ROS detoxification"
CATp,"ROS detoxification"
CBPSam,"Glutamate metabolism"
CDPDAGtm,"Transport, Mitochondrial"
CDS,"Glycerophospholipid metabolism"
CDSm,"Glycerophospholipid metabolism"
CHLtm,"Transport, Mitochondrial"
CHOLD2m,"Glycine, serine and threonine metabolism"
CHOLPtr,"Transport, Extracellular"
CITMCOAHm,"Pyruvate metabolism"
CITMCOALm,"Pyruvate metabolism"
CITRORNtm,"Transport, Mitochondrial"
CITRte,"Transport, Extracellular"
CITRtm,"Transport, Mitochondrial"
CO2tn,"Transport, Nuclear"
COAtm,"Transport, Mitochondrial"
COAtp,"Transport, Peroxisomal"
COAtr,"Transport, Endoplasmic reticular"
COt,"Transport, Extracellular"
CPPPGO,"Heme synthesis"
CRNCARtp,"Transport, Peroxisomal"
CRNtim,"Transport, Mitochondrial"
CSNAT2m,"Carnitine metabolism"
CSNATp,"Carnitine metabolism"
CSNATr,"Carnitine metabolism"
CTPtm,"Transport, Mitochondrial"
CYOOm2,"Oxidative phosphorylation"
CYOR_u10m,"Oxidative phosphorylation"
CYSBS,"Methionine and cysteine metabolism"
CYSDDS,"Methionine and cysteine metabolism"
CYSTGL,"Methionine and cysteine metabolism"
CYSTS,"Methionine and cysteine metabolism"
CYSt4,"Transport, Extracellular"
CYTDt,"Transport, Extracellular"
CYTDt4,"Transport, Extracellular"
D3AIBTm,"Nucleotide salvage pathway"
DAD2te,"Transport, Extracellular"
DADNt4,"Transport, Extracellular"
DAGKm_hs,"Glycerophospholipid metabolism"
DAG_Hstem,"Transport, Endoplasmic reticular"
DAGt,"Transport, Extracellular"
DASCBR,"Vitamin C metabolism"
DCYTt,"Transport, Extracellular"
DCYTte,"Transport, Extracellular"
DESAT16_1,"Fatty acid desaturation"
DESAT18_1,"Fatty acid desaturation"
DGSNt,"Transport, Extracellular"
DGSNte,"Transport, Extracellular"
DHCHOLOR,"Bile acid synthesis"
DHCR241r,"Cholesterol metabolism"
DHCR242r,"Cholesterol metabolism"
DHEASt,"Transport, Extracellular"
DHEASt5e,"Transport, Extracellular"
DHPM1,"Nucleotide salvage pathway"
DHPM2,"Nucleotide salvage pathway"
DHPR,"Tetrahydrobiopetrin metabolism"
DHPRy,"Tetrahydrobiopetrin metabolism"
DHRT_2mbcoa,"Valine, leucine and isoleucine metabolism"
DHRT_ibcoa,"Valine, leucine and isoleucine metabolism"
DLD,"Glycine, serine and threonine metabolism"
DMGDHm,"Glycine, serine and threonine metabolism"
DMGtm,"Transport, Mitochondrial"
DM_2mbgly[c],"Exchange/Demand"
DM_ibgly[n],"Exchange/Demand"
DNPH4,"Nucleotide salvage pathway"
DOPABMO,"Tyrosine metabolism"
DPGM,"Glycolysis/Gluconeogenesis"
DRPA,"Pentose phosphate pathway"
DURAD,"Nucleotide salvage pathway"
DURAD2xm,"Nucleotide salvage pathway"
DURIPP,"Nucleotide salvage pathway"
DURIt,"Transport, Extracellular"
DURIt3e,"Transport, Extracellular"
DUTCP,"Nucleotide salvage pathway"
EBP2r,"Cholesterol metabolism"
ECOAH1m,"Tryptophan metabolism"
ENO,"Glycolysis/Gluconeogenesis"
ESTRADIOLtr,"Transport, Endoplasmic reticular"
ESTRONESt2,"Transport, Extracellular"
ESTRONESt5e,"Transport, Extracellular"
ESTRONEtr,"Transport, Endoplasmic reticular"
ETHPL,"Glycerophospholipid metabolism"
EX_2mcit(e),"Exchange/Demand"
EX_335trithyr(e),"Exchange/Demand"
EX_34dhoxpeg(e),"Exchange/Demand"
EX_3ohglutac(e),"Exchange/Demand"
EX_ac(e),"Exchange/Demand"
EX_asp_L(e),"Exchange/Demand"
EX_bildglcur(e),"Exchange/Demand"
EX_bilglcur(e),"Exchange/Demand"
EX_cit(e),"Exchange/Demand"
EX_citr_L(e),"Exchange/Demand"
EX_co(e),"Exchange/Demand"
EX_co2(e),"Exchange/Demand"
EX_cys_L(e),"Exchange/Demand"
EX_for(e),"Exchange/Demand"
EX_glu_L(e),"Exchange/Demand"
EX_gly(e),"Exchange/Demand"
EX_glyc(e),"Exchange/Demand"
EX_glyhisasn(e),"Exchange/Demand"
EX_h2o2(e),"Exchange/Demand"
EX_i(e),"Exchange/Demand"
EX_isomal(e),"Exchange/Demand"
EX_kynate(e),"Exchange/Demand"
EX_lac_L(e),"Exchange/Demand"
EX_mal_L(e),"Exchange/Demand"
EX_meoh(e),"Exchange/Demand"
EX_ncam(e),"Exchange/Demand"
EX_oxa(e),"Exchange/Demand"
EX_ppiogly(e),"Exchange/Demand"
EX_pyr(e),"Exchange/Demand"
EX_ser_L(e),"Exchange/Demand"
EX_tyr_L(e),"Exchange/Demand"
EX_urea(e),"Exchange/Demand"
FACOAL100im,"Fatty acid activation"
FADFADH2tm,"Transport, Mitochondrial"
FAE180,"Fatty acid elongation"
FAE181,"Fatty acid elongation"
FAE200,"Fatty acid elongation"
FAE220,"Fatty acid elongation"
FAE240,"Fatty acid elongation"
FAE260,"Fatty acid elongation"
FALDtm,"Transport, Mitochondrial"
FALDtn,"Transport, Nuclear"
FALDtx,"Transport, Mitochondrial"
FATP1t,"Transport, Extracellular"
FATP9t,"Transport, Extracellular"
FBA,"Glycolysis/Gluconeogenesis"
FBA2,"Fructose and mannose metabolism"
FBA3,"Unassigned"
FCLTm,"Heme synthesis"
FCYTOB5OXRr,"Unassigned"
FE2tm,"Transport, Mitochondrial"
FKYNH,"Tryptophan metabolism"
FORBHBte,"Transport, Extracellular"
FORPPAte,"Transport, Extracellular"
FTCD,"Folate metabolism"
FUMAC,"Tyrosine metabolism"
GALK,"Galactose metabolism"
GALM2,"Galactose metabolism"
GALU,"Galactose metabolism"
GAPD,"Glycolysis/Gluconeogenesis"
GCALDD,"Glyoxylate and dicarboxylate metabolism"
GCALDDm,"Glyoxylate and dicarboxylate metabolism"
GCHOLAt2,"Transport, Extracellular"
GLCOASYNT,"Lysine metabolism"
GLNt4,"Transport, Extracellular"
GLUDxm,"Glutamate metabolism"
GLUt2m,"Transport, Mitochondrial"
GLUt6,"Transport, Extracellular"
GLXO2p,"Glyoxylate and dicarboxylate metabolism"
GLXtm,"Transport, Mitochondrial"
GLXtp,"Transport, Peroxisomal"
GLYACT2,"Glycine, serine and threonine metabolism"
GLYACT3,"Glycine, serine and threonine metabolism"
GLYALDORy,"Glycerophospholipid metabolism"
GLYBtm,"Transport, Mitochondrial"
GLYCLTtm,"Transport, Mitochondrial"
GLYCLTtp,"Transport, Peroxisomal"
GLYCTO1p,"Glyoxylate and dicarboxylate metabolism"
GLYCt,"Transport, Extracellular"
GLYHISASNr,"Peptide metabolism"
GLYHISASNt,"Transport, Extracellular"
GLYOp,"Glycine, serine and threonine metabolism"
GLYt4,"Transport, Extracellular"
GLYtm,"Transport, Mitochondrial"
