CancerModel,NormalModel,DeletedReaction,Reaction,FluxCancer,FluxNormal,FluxDifference
PT3,PN18,GND,11DOCRTSLtm,0,NaN,NaN
PT3,PN18,GND,11DOCRTSLtr,0,NaN,NaN
PT3,PN18,GND,11DOCRTSTRNtm,0,NaN,NaN
PT3,PN18,GND,11DOCRTSTRNtr,0,NaN,NaN
PT3,PN18,GND,12HPETATP,0,NaN,NaN
PT3,PN18,GND,15HPETATP,0,NaN,NaN
PT3,PN18,GND,2AMACSULT,0,NaN,NaN
PT3,PN18,GND,2AOBUTtm,0.00960957045481337,NaN,NaN
PT3,PN18,GND,2DR1PP,0.00120146502305405,NaN,NaN
PT3,PN18,GND,2MCITt,0,NaN,NaN
PT3,PN18,GND,335TRITHYRt5e,0,NaN,NaN
PT3,PN18,GND,34DHMORx,1000,NaN,NaN
PT3,PN18,GND,34DHMORy,-1000,NaN,NaN
PT3,PN18,GND,34DHOXMANDte,0,NaN,NaN
PT3,PN18,GND,34DHPHAMT,0,NaN,NaN
PT3,PN18,GND,34DHPLACOX,0,NaN,NaN
PT3,PN18,GND,34DHPLACOXy,0,NaN,NaN
PT3,PN18,GND,34DHXMANDACOX,0,NaN,NaN
PT3,PN18,GND,34DHXMANDACOXy,0,NaN,NaN
PT3,PN18,GND,34HPLFM,0,NaN,NaN
PT3,PN18,GND,34HPPte,-0.0996862455857581,NaN,NaN
PT3,PN18,GND,3DPHBH1,0,NaN,NaN
PT3,PN18,GND,3DSPHR,3.43603036717762e-05,3.94757124922003e-05,-5.11540882042413e-06
PT3,PN18,GND,3HAD100,0.00111099756218565,0.00336923404056025,-0.0022582364783746
PT3,PN18,GND,3HAD120,0.00111099756218565,0.00336923404056025,-0.0022582364783746
PT3,PN18,GND,3HAD140,0.00111099756218565,0.00336923404056025,-0.0022582364783746
PT3,PN18,GND,3HAD160,0.000393239389843061,NaN,NaN
PT3,PN18,GND,3HAD241n9p,0,NaN,NaN
PT3,PN18,GND,3HAD40,0.00111099756218565,0.00336923404056025,-0.0022582364783746
PT3,PN18,GND,3HAD60,0.00111099756218565,0.00336923404056025,-0.0022582364783746
PT3,PN18,GND,3HAD80,0.00111099756218565,0.00336923404056025,-0.0022582364783746
PT3,PN18,GND,3HDH224n6p,0,NaN,NaN
PT3,PN18,GND,3HLYTCL,0,NaN,NaN
PT3,PN18,GND,3M4HDXPAC,0,NaN,NaN
PT3,PN18,GND,3M4HPORx,-999.898551677633,NaN,NaN
PT3,PN18,GND,3M4HPORy,999.898551677633,NaN,NaN
PT3,PN18,GND,3MLDAt,0.000326432709925939,NaN,NaN
PT3,PN18,GND,3MOBt2im,-0.0993071150247715,NaN,NaN
PT3,PN18,GND,3MOBte,-0.0993071150247715,NaN,NaN
PT3,PN18,GND,3MOX4HOXMte,0,NaN,NaN
PT3,PN18,GND,3MOX4HOXPGALDOX,0,NaN,NaN
PT3,PN18,GND,3MOX4HOXPGALDOXy,0,NaN,NaN
PT3,PN18,GND,3MOXTYROX,0,NaN,NaN
PT3,PN18,GND,3OAR100,0.00111099756218565,0.00336923404056025,-0.0022582364783746
PT3,PN18,GND,3OAR120,0.00111099756218565,0.00336923404056025,-0.0022582364783746
PT3,PN18,GND,3OAR140,0.00111099756218565,0.00336923404056025,-0.0022582364783746
PT3,PN18,GND,3OAR160,0.000393239389843061,NaN,NaN
