CancerModel,NormalModel,DeletedReaction,Reaction,FluxCancer,FluxNormal,FluxDifference
PT1,PN26,GND,3M4HPORx,0,1000,-1000
PT1,PN26,GND,3M4HPORy,0,-1000,1000
PT1,PN26,GND,4HOXPACDOXy,0.0996455841090335,0,0.0996455841090335
PT1,PN26,GND,ACGAM6PSi,0,0.000418080136555277,-0.000418080136555277
PT1,PN26,GND,ACGAMPM,0,0.000418080136569188,-0.000418080136569188
PT1,PN26,GND,ACONTa,0,0.0939744908904458,-0.0939744908904458
PT1,PN26,GND,ACONTb,0,-0.0035111441737854,0.0035111441737854
PT1,PN26,GND,ADK1,0.0195643860899476,0,0.0195643860899476
PT1,PN26,GND,ALDD2x,0,0.00889497984518801,-0.00889497984518801
PT1,PN26,GND,ARGt4,0,0.000668028241677855,-0.000668028241677855
PT1,PN26,GND,ASNt4,0.1,0,0.1
PT1,PN26,GND,ASPPROASCT1,0,0.000869528214982484,-0.000869528214982484
PT1,PN26,GND,BDMT,0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,C161CPT1,0,-3.79347663965746e-05,3.79347663965746e-05
PT1,PN26,GND,CACT4r,0,3.79347663965746e-05,-3.79347663965746e-05
PT1,PN26,GND,CACT6r,-0.00125497896760862,0,-0.00125497896760862
PT1,PN26,GND,CHSTEROLt2,4.52836386557465e-05,0,4.52836386557465e-05
PT1,PN26,GND,CYSATB0tc,0.00010337259634371,0,0.00010337259634371
PT1,PN26,GND,DESAT16_1,0,3.79347663488001e-05,-3.79347663488001e-05
PT1,PN26,GND,DM_n5m2masn[g],0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,DOLASNTer,0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,DOLDPPer,0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,DOLGLCP_ter,0,0.000179177201380833,-0.000179177201380833
PT1,PN26,GND,DOLMANP_ter,0,0.000238902935166152,-0.000238902935166152
PT1,PN26,GND,DOLP_ter,0,0.000477805870332304,-0.000477805870332304
PT1,PN26,GND,DOLPGT1er,0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,DOLPGT2er,0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,DOLPGT3er,0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,DOLPMT,0,0.000238902935174444,-0.000238902935174444
PT1,PN26,GND,DOLPMT1er,0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,DOLPMT2_er,0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,DOLPMT3er,0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,DOLPMT4_er,0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,DPCOAK,0,0.000150187747634327,-0.000150187747634327
PT1,PN26,GND,ENO,0,0.000431299010870134,-0.000431299010870134
PT1,PN26,GND,EX_4hphac(e),0.0996455841090335,0,0.0996455841090335
PT1,PN26,GND,EX_h2o2(e),0.0998385584231116,0,0.0998385584231116
PT1,PN26,GND,EX_isomal(e),0,0.499198730829042,-0.499198730829042
PT1,PN26,GND,EX_oxa(e),0,0.108922287287965,-0.108922287287965
PT1,PN26,GND,EX_pnto_R(e),0,-0.000150187747634326,0.000150187747634326
PT1,PN26,GND,EX_pyr(e),0.000357434652234818,0,0.000357434652234818
PT1,PN26,GND,FAE180,0.000250995793526348,0,0.000250995793526348
PT1,PN26,GND,FECR,0.0921272459667074,0,0.0921272459667074
PT1,PN26,GND,FERO,0.0460636229833537,0,0.0460636229833537
PT1,PN26,GND,G12MT1,0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,G12MT2,0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,G13MT,0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,G16MT,0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,G6Pt6er,0,0.000227608598038387,-0.000227608598038387
PT1,PN26,GND,GALU,0,0.000179177201403036,-0.000179177201403036
PT1,PN26,GND,GAPD,0,0.000431299010870134,-0.000431299010870134
PT1,PN26,GND,GF6PTA,0,0.000418080136555277,-0.000418080136555277
PT1,PN26,GND,GLCNACPT,0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,GLCNACT,0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,GLNATB0tc,0,0.1,-0.1
PT1,PN26,GND,GLNt4,0.00148010530889494,0,0.00148010530889494
PT1,PN26,GND,GLXO2p,0,0.108922287287965,-0.108922287287965
PT1,PN26,GND,GLYC3Ptm,0,0.0977511505368761,-0.0977511505368761
PT1,PN26,GND,GLYC3Ptmc,0,0.0977511505368511,-0.0977511505368511
PT1,PN26,GND,GLYOp,0,0.108922287287965,-0.108922287287965
PT1,PN26,GND,H2Otg,0,0.000597257337972223,-0.000597257337972223
PT1,PN26,GND,HACD180,0.000250995793521724,0,0.000250995793521724
PT1,PN26,GND,HEX4,0,0.000358354402761666,-0.000358354402761666
PT1,PN26,GND,HOM_Lte,0,-1000,1000
PT1,PN26,GND,HOMt4,0,1000,-1000
PT1,PN26,GND,HPACtr,0.0996455841089983,0,0.0996455841089983
PT1,PN26,GND,HSD180,0.000250995793521724,0,0.000250995793521724
PT1,PN26,GND,Htg,0,0.000597257337972223,-0.000597257337972223
PT1,PN26,GND,Htx,0,-0.10892228728801,0.10892228728801
PT1,PN26,GND,ILEt4,0.1,0,0.1
PT1,PN26,GND,IMAGH,0,-0.499198730828994,0.499198730828994
PT1,PN26,GND,M1316Mg,0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,M13N2Tg,0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,M13N4T2g,0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,M16N4Tg,0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,M16N6T2g,0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,M16NTg,0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,M4MPDOL_ter,0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,MALCOAMT,0.00125497896760862,0,0.00125497896760862
PT1,PN26,GND,MALCOAMTr,-0.00125497896760862,0,-0.00125497896760862
PT1,PN26,GND,MAN1PT2,0,0.000537531604142499,-0.000537531604142499
PT1,PN26,GND,MAN6PI,0,-0.000179177201403036,0.000179177201403036
PT1,PN26,GND,MANtg,0,0.000298628668968055,-0.000298628668968055
PT1,PN26,GND,MG1er,0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,MG2er,0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,MG3er,0,5.97257337936111e-05,-5.97257337936111e-05
PT1,PN26,GND,NDP7g,0,0.000298628668968055,-0.000298628668968055
PT1,PN26,GND,NDPK8,2.92620072061827e-05,0,2.92620072061827e-05
