Reaction,Subsystem
10FTHFtm,"Transport, Mitochondrial"
11DOCRTSLtm,"Transport, Mitochondrial"
11DOCRTSLtr,"Transport, Endoplasmic reticular"
11DOCRTSTRNtm,"Transport, Mitochondrial"
11DOCRTSTRNtr,"Transport, Endoplasmic reticular"
2AMACHYD,"Glycine, serine and threonine metabolism"
2AMACSULT,"Methionine and cysteine metabolism"
2AMADPTm,"Transport, Mitochondrial"
2AOBUTtm,"Transport, Mitochondrial"
2HYOXPLCte,"Transport, Extracellular"
2MCITt,"Transport, Extracellular"
2OXOADPTm,"Transport, Mitochondrial"
34DHMORx,"Unassigned"
34DHMORy,"Unassigned"
34DHOXMANDte,"Transport, Extracellular"
34DHXMANDACOXy,"Tyrosine metabolism"
3HAD100m,"Fatty acid oxidation"
3HAD140m,"Fatty acid oxidation"
3HAD241n9p,"Fatty acid oxidation"
3HAD60m,"Fatty acid oxidation"
3HAD80m,"Fatty acid oxidation"
3HDH100m,"Fatty acid oxidation"
3HDH140m,"Fatty acid oxidation"
3HDH241n9p,"Fatty acid oxidation"
3HDH60m,"Fatty acid oxidation"
3HDH80m,"Fatty acid oxidation"
3HGLUTCOAm,"Lysine metabolism"
3HLYTCL,"Tyrosine metabolism"
3M4HPORx,"Unassigned"
3M4HPORy,"Unassigned"
3MLDAt,"Transport, Extracellular"
3OHGLUTACOAT3t,"Transport, Extracellular"
3OHGLUTACm,"Lysine metabolism"
3OHGLUTACtm,"Transport, Mitochondrial"
41R2A1H12BOOX,"Tyrosine metabolism"
4ABUTtm,"Transport, Mitochondrial"
4HOXPACDOX,"Tyrosine metabolism"
4MPTNLte,"Transport, Extracellular"
4MPTNLtm,"Transport, Mitochondrial"
5AOPtm,"Transport, Mitochondrial"
AACTOOR,"Glycine, serine and threonine metabolism"
AACTtm,"Transport, Mitochondrial"
AAPSAS,"Lysine metabolism"
AATA,"Lysine metabolism"
AATAi,"Lysine metabolism"
ABTArm,"Glutamate metabolism"
ABUTt4_2_r,"Transport, Extracellular"
ACACPYRte,"Transport, Extracellular"
ACACT100m,"Fatty acid oxidation"
ACACT140m,"Fatty acid oxidation"
ACACT224n6p,"Fatty acid oxidation"
ACACT60m,"Fatty acid oxidation"
ACACT80m,"Fatty acid oxidation"
ACACt2,"Transport, Extracellular"
ACGAM6PSi,"Aminosugar metabolism"
ACGAMK,"Aminosugar metabolism"
ACGAMPM,"Aminosugar metabolism"
ACGAMtly,"Transport, Lysosomal"
ACHe,"Transport, Extracellular"
ACHtn,"Transport, Nuclear"
ACITL,"Citric acid cycle"
ACITLn,"Citric acid cycle"
ACNAM9PL,"Aminosugar metabolism"
ACNAM9PL2,"Aminosugar metabolism"
ACNAMPH,"Aminosugar metabolism"
ACNAMlt,"Transport, Lysosomal"
ACOA40ORm,"Fatty acid oxidation"
ACOAD100m,"Fatty acid oxidation"
ACOAD140m,"Fatty acid oxidation"
ACOAD241n9p,"Fatty acid oxidation"
ACOAD60m,"Fatty acid oxidation"
ACOAD80m,"Fatty acid oxidation"
ACOATE100m,"Fatty acid oxidation"
ACOATE221,"Fatty acid oxidation"
ACOATE80m,"Fatty acid oxidation"
ACONTa,"Citric acid cycle"
ACONTb,"Citric acid cycle"
ACt2r,"Transport, Extracellular"
ADK3,"Nucleotide interconversions"
ADK3m,"Nucleotide interconversions"
ADNK3,"Nucleotide salvage pathway"
ADPt4,"Transport, Mitochondrial"
ADPtn,"Transport, Nuclear"
ADSK,"Nucleotide salvage pathway"
AGTix,"Alanine and aspartate metabolism"
AHC,"Methionine and cysteine metabolism"
AHCYStn,"Transport, Nuclear"
AHEXASEly,"N-glycan degradation"
AKGDa1,"Citric acid cycle"
AKGDa2,"Citric acid cycle"
AKGDb,"Citric acid cycle"
AKGFORte,"Transport, Extracellular"
AKGt4_3,"Transport, Extracellular"
AKGtn,"Transport, Nuclear"
ALABte,"Transport, Extracellular"
ALASm,"Glycine, serine and threonine metabolism"
ALA_DTDe,"Transport, Extracellular"
ALAt4,"Transport, Extracellular"
ALCD1,"Unassigned"
ALCD21_D,"Pyruvate metabolism"
ALCD21_L,"Pyruvate metabolism"
ALCD22_D,"Pyruvate metabolism"
ALDD19x,"Phenylalanine metabolism"
ALDD19xrm,"Phenylalanine metabolism"
ALDD19y,"Phenylalanine metabolism"
ALDD19yrm,"Phenylalanine metabolism"
ALDD2x,"Pyruvate metabolism"
ALDD2y,"Pyruvate metabolism"
ALR2,"Pyruvate metabolism"
ALR3,"Pyruvate metabolism"
AMANK,"Aminosugar metabolism"
AMETEPMT,"Glycerophospholipid metabolism"
AMETt2m,"Transport, Mitochondrial"
AMETtn,"Transport, Nuclear"
AMPDA,"Nucleotide salvage pathway"
AMPt4,"Transport, Mitochondrial"
AOBUTDsm,"Glycine, serine and threonine metabolism"
ARACHDtr,"Transport, Endoplasmic reticular"
ARCOAATp,"Carnitine metabolism"
ARGATB0tc,"Transport, Extracellular"
ARGHIStm,"Transport, Mitochondrial"
ARGt4,"Transport, Extracellular"
ARGtm,"Transport, Mitochondrial"
ARSA,"Sphingolipid metabolism"
ARTFR12,"R group synthesis"
ARTFR41,"R group synthesis"
ARTFR43,"R group synthesis"
ARTFR52,"R group synthesis"
ASCBt5,"Transport, Extracellular"
ASCBtr,"Transport, Extracellular"
ASNN,"Alanine and aspartate metabolism"
ASP1DC,"B-alanine metabolism"
ASPDTDe,"Transport, Extracellular"
ASPDt6,"Transport, Extracellular"
ASPPROASCT1,"Transport, Extracellular"
ATP1ter,"Transport, Endoplasmic reticular"
ATPS4m,"Oxidative phosphorylation"
ATPt4,"Transport, Mitochondrial"
ATPtm,"Transport, Mitochondrial"
ATPtn,"Transport, Nuclear"
A_MANASEly,"N-glycan degradation"
Asn_X_Ser/Thrtr,"Transport, Endoplasmic reticular"
BDMT,"N-glycan synthesis"
BETALDHxm,"Glycine, serine and threonine metabolism"
BHMT,"Glycine, serine and threonine metabolism"
BILDGLCURt,"Transport, Extracellular"
BILDGLCURt5e,"Transport, Extracellular"
BILDGLCURtr,"Transport, Endoplasmic reticular"
BILIRED,"Heme synthesis"
BILIRED2,"Heme synthesis"
BILIRUBt2,"Transport, Extracellular"
BILIRUBte,"Transport, Extracellular"
BILIRUBtr,"Transport, Endoplasmic reticular"
BPNT,"Nucleotide salvage pathway"
BTCOACRNtm,"Transport, Mitochondrial"
BUP2,"Nucleotide salvage pathway"
BUTt2m,"Transport, Mitochondrial"
B_MANNASEly,"N-glycan degradation"
C161CPT1,"Carnitine metabolism"
C204CPT1,"Carnitine metabolism"
CA2tm,"Transport, Mitochondrial"
CACT4r,"Transport, Endoplasmic reticular"
CACT6r,"Transport, Endoplasmic reticular"
CACT7p,"Transport, Mitochondrial"
CAT,"ROS detoxification"
CATp,"ROS detoxification"
CHAT,"Glycerophospholipid metabolism"
CHATn,"Glycerophospholipid metabolism"
CHLPCTD,"Glycerophospholipid metabolism"
CHLtm,"Transport, Mitochondrial"
CHOLD2m,"Glycine, serine and threonine metabolism"
CHOLtn,"Transport, Nuclear"
CITRte,"Transport, Extracellular"
CITRtm,"Transport, Mitochondrial"
CITtn,"Transport, Nuclear"
CMPACNAtg,"Transport, Golgi Apparatus"
CMPSAS,"Aminosugar metabolism"
CO2tn,"Transport, Nuclear"
COAtp,"Transport, Peroxisomal"
COAtr,"Transport, Endoplasmic reticular"
COt,"Transport, Extracellular"
CPPPGO,"Heme synthesis"
CRNCARtp,"Transport, Peroxisomal"
CRNtim,"Transport, Mitochondrial"
CRNtr,"Transport, Endoplasmic reticular"
CRTSLt,"Transport, Extracellular"
CRTSLtm,"Transport, Mitochondrial"
CRTSTRNt,"Transport, Extracellular"
CRTSTRNtm,"Transport, Mitochondrial"
CSNATp,"Carnitine metabolism"
CSNATr,"Carnitine metabolism"
