SingleLethal,CountsInNormal,CountsInCancer,NotSLInNormal,NotSLInCancer,p-value,OddsRatio,ConfidenceInterval-I,ConfidenceInterval-II
RNDR4,8,19,18,5,0.000683774500477248,0.116959064327485,0.0214664580360281,0.637246382491331
G6Pt6er,2,12,24,12,0.00100838735419539,0.0833333333333333,0.0095349617886683,0.728313820061395
G6Pter,1,10,25,14,0.00143195304455039,0.056,0.00328796007275562,0.953782871630718
TRDR,9,19,17,5,0.00169919375325339,0.139318885448916,0.0261107000947389,0.743363899562357
LDH_L,0,6,26,18,0.00847011144883485,0,-Inf,Inf
PNTOt1,0,6,26,18,0.00847011144883485,0,-Inf,Inf
GHMT2rm,1,7,25,17,0.0181310525199689,0.0971428571428571,0.00550643469354232,1.71376493485785
MTHFCm,1,7,25,17,0.0181310525199689,0.0971428571428571,0.00550643469354232,1.71376493485785
SERTm,1,7,25,17,0.0181310525199689,0.0971428571428571,0.00550643469354232,1.71376493485785
ETHAK,0,5,26,19,0.0200607902735562,0,-Inf,Inf
GMPS2,0,5,26,19,0.0200607902735562,0,-Inf,Inf
NDP8,4,11,22,13,0.0200866853091663,0.214876033057851,0.0372189753530467,1.24054220044237
UMPK5,5,12,21,12,0.0224161574833182,0.238095238095238,0.0453648437585181,1.24963160251122
NDPK3,6,13,20,11,0.0238530368507076,0.253846153846154,0.0513933572584479,1.25381709349009
CHSTEROLt3,8,15,18,9,0.0242095135986789,0.266666666666667,0.0570588703412577,1.24627618257792
10FTHFtm,2,8,24,16,0.0267695666384003,0.166666666666667,0.018475819168955,1.50346664057271
AGPAT1m,3,9,23,15,0.0338100024407731,0.217391304347826,0.0319272341831548,1.48020899445726
GPAMm_hs,3,9,23,15,0.0338100024407731,0.217391304347826,0.0319272341831548,1.48020899445726
RTOTALCRNCPT1,3,9,23,15,0.0338100024407731,0.217391304347826,0.0319272341831548,1.48020899445726
RTOTALCRNCPT2,3,9,23,15,0.0338100024407731,0.217391304347826,0.0319272341831548,1.48020899445726
RTOTALCRNt,3,9,23,15,0.0338100024407731,0.217391304347826,0.0319272341831548,1.48020899445726
MTHFDm,1,6,25,18,0.038500506585613,0.12,0.00664312139431905,2.16765570659515
THRt4,1,6,25,18,0.038500506585613,0.12,0.00664312139431905,2.16765570659515
PPItm,10,16,16,8,0.0430186984582837,0.3125,0.0680827108747948,1.43437663902061
CHSTEROLt2,9,15,17,9,0.0452163351772749,0.317647058823529,0.0695501370941798,1.45074701783273
CACT6r,6,12,20,12,0.0454062273615502,0.3,0.0608849253490776,1.47819841256262
MALCOAMT,6,12,20,12,0.0454062273615502,0.3,0.0608849253490776,1.47819841256262
MALCOAMTr,6,12,20,12,0.0454062273615502,0.3,0.0608849253490776,1.47819841256262
CITRt2m,0,4,26,20,0.0461398176291793,0,-Inf,Inf
NCKt,0,4,26,20,0.0461398176291793,0,-Inf,Inf
PPCOACRNtm,0,4,26,20,0.0461398176291793,0,-Inf,Inf
