CollateralLethal,DoubleLethalR1,DoubleLethalR2
PPItm,PPItm,ARTFR52
CDPDAGtm,PPItm,RTOT5
ACACT1rm,PPItm,TECR200
CDS,PPItm,TECR220
CDSm,PPItm,TECR240
CTPtm,PPItm,TECR260
PPAPA,PPItm,TECR180
NaN,ADK1,ADK3
NaN,CDPDAGtm,CDS
NaN,ACACT1rm,PPItm
NaN,CDS,CDSm
NaN,CDS,CTPtm
NaN,CDS,PCHOLPm_hs
NaN,CDS,PPAPA
NaN,CDS,PPItm
NaN,CDS,CHLtm
NaN,CDS,PETOHMm_hs
NaN,CDS,PPItm
NaN,FAE200,PPItm
NaN,FAE220,PPItm
NaN,FAE240,PPItm
NaN,FAE260,PPItm
NaN,HACD200,PPItm
NaN,HACD220,PPItm
NaN,HACD240,PPItm
NaN,HACD260,PPItm
NaN,HEXCCOAtr,PPItm
NaN,HSD200,PPItm
NaN,HSD220,PPItm
NaN,HSD240,PPItm
NaN,HSD260,PPItm
NaN,FAE180,PPItm
NaN,HACD180,PPItm
NaN,HSD180,PPItm
NaN,ACACT1r,PPItm
NaN,ACACT1rm,PPItm
NaN,HMGCOASi,PPItm
NaN,CBPSam,PPItm
NaN,CITRte,PPItm
NaN,OCBTm,PPItm
NaN,CDS,PPAPA
NaN,CDS,CDSm
NaN,CDPDAGtm,CDS
NaN,AMETt2m,CDS
NaN,CDS,CTPtm
NaN,3MHISt3,PHEt4
NaN,PPAer,PPIPItr
