DoubleLethal,CountsInNormal,CountsInCancer,NotSLInNormal,NotSLInCancer,p-value,OddsRatio,ConfidenceInterval-I,ConfidenceInterval-II
CDPDAGtm;CDS,21,0,5,23,1.68451054860541e-09,Inf,-Inf,Inf
CDS;CDSm,21,0,5,23,1.68451054860541e-09,Inf,-Inf,Inf
CDS;CTPtm,21,0,5,23,1.68451054860541e-09,Inf,-Inf,Inf
CDS;PCHOLPm_hs,21,0,5,23,1.68451054860541e-09,Inf,-Inf,Inf
CDS;PPAPA,21,0,5,23,1.68451054860541e-09,Inf,-Inf,Inf
CDS;PPItm,21,0,5,23,1.68451054860541e-09,Inf,-Inf,Inf
AMETt2m;CDS,20,0,6,23,8.14180098492615e-09,Inf,-Inf,Inf
CDS;CHLtm,20,0,6,23,8.14180098492615e-09,Inf,-Inf,Inf
CDS;PETOHMm_hs,20,0,6,23,8.14180098492615e-09,Inf,-Inf,Inf
ACCOAL2;ACHtn,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
ACCOAL2;ACITLn,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
ACCOAL2;ADPtn,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
ACCOAL2;ATPtn,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
ACCOAL2;CHAT,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
ACCOAL2;CHATn,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
ACCOAL2;CHOLtn,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
ACCOAL2;CITtn,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
ACCOAL2;OAAtn,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
ACHtn;ACOAS,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
ACOAS;ACITLn,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
ACOAS;ADPtn,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
ACOAS;ATPtn,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
ACOAS;CHAT,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
ACOAS;CHATn,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
ACOAS;CHOLtn,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
ACOAS;CITtn,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
ACOAS;OAAtn,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
CHOLt4;PSDm_hs,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
CHOLt4;PSFLIPm,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
DESAT16_1;FAE180,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
DESAT16_1;HACD180,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
DESAT16_1;HSD180,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
DESAT16_1;TECR180,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
FAE180;FAE181,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
FAE180;HACD181,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
FAE180;HSD181,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
FAE180;OCTD11ECOAtr,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
FAE180;TECR181,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
FAE181;HACD180,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
FAE181;HSD180,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
FAE181;TECR180,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
HACD180;HACD181,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
HACD180;HSD181,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
HACD180;OCTD11ECOAtr,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
HACD180;TECR181,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
HACD181;HSD180,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
HACD181;TECR180,15,0,11,23,4.90369042177835e-06,Inf,-Inf,Inf
