SingleLethal,CountsInNormal,CountsInCancer,NotSLInNormal,NotSLInCancer,p-value,OddsRatio,ConfidenceInterval-I,ConfidenceInterval-II
DPCOAK,0,15,26,8,3.11195738305166e-07,0,-Inf,Inf
PNTK,0,15,26,8,3.11195738305166e-07,0,-Inf,Inf
PPCDC,0,15,26,8,3.11195738305166e-07,0,-Inf,Inf
PTPAT,0,15,26,8,3.11195738305166e-07,0,-Inf,Inf
PNTOt1,0,13,26,10,4.35674033627232e-06,0,-Inf,Inf
PPNCL2,0,13,26,10,4.35674033627232e-06,0,-Inf,Inf
PPItm,0,11,26,12,4.64058857030219e-05,0,-Inf,Inf
PPAPA,1,12,25,11,0.000138227488850822,0.0366666666666667,0.0021457583339587,0.626559115799442
10FTHFtm,5,17,21,6,0.000144204553404911,0.0840336134453781,0.0142889402514015,0.494203773299047
ADK1,11,21,15,2,0.000320037913115478,0.0698412698412698,0.00802972134233339,0.607468524134812
CDPDAGtm,0,9,26,14,0.000397764734597331,0,-Inf,Inf
CDSm,0,9,26,14,0.000397764734597331,0,-Inf,Inf
GLYtm,5,16,21,7,0.000453931717828253,0.104166666666667,0.0184003328392286,0.589700987436016
ACACT1rm,9,19,17,4,0.000783777911735506,0.111455108359133,0.0189709320007726,0.654803948421732
FCYTOB5OXRyr,8,18,18,5,0.00100814453955851,0.123456790123457,0.022529978369641,0.676502159812331
GLYATm,1,10,25,13,0.0010673353711695,0.052,0.0030335613411822,0.891361570076651
AGPAT1m,0,8,26,15,0.00108722360789937,0,-Inf,Inf
GPAMm_hs,0,8,26,15,0.00108722360789937,0,-Inf,Inf
RTOTALCRNCPT1,0,7,26,16,0.00285396197073585,0,-Inf,Inf
RTOTALCRNCPT2,0,7,26,16,0.00285396197073585,0,-Inf,Inf
RTOTALCRNt,0,7,26,16,0.00285396197073585,0,-Inf,Inf
CDS,5,14,21,9,0.0032758903270187,0.153061224489796,0.0282598493185099,0.829011442285744
ACITL,0,6,26,17,0.00721884498480243,0,-Inf,Inf
CTPtm,0,6,26,17,0.00721884498480243,0,-Inf,Inf
LDH_L,0,6,26,17,0.00721884498480243,0,-Inf,Inf
L_LACt2r,0,6,26,17,0.00721884498480243,0,-Inf,Inf
PPItn,15,21,11,2,0.00832929538834604,0.12987012987013,0.0149313000167356,1.1295902308292
ASPPROASCT1,7,14,19,9,0.017110370337928,0.236842105263158,0.0486022795039435,1.15414715931037
ARGATB0tc,0,5,26,18,0.0176460655184059,0,-Inf,Inf
GLYC3Ptmc,0,5,26,18,0.0176460655184059,0,-Inf,Inf
Htr,0,5,26,18,0.0176460655184059,0,-Inf,Inf
PIATPLtm,0,5,26,18,0.0176460655184059,0,-Inf,Inf
HEX1,1,6,25,17,0.033408143069202,0.113333333333333,0.00625061395575291,2.05490925137406
PHEt4,1,6,25,17,0.033408143069202,0.113333333333333,0.00625061395575291,2.05490925137406
RNDR4,13,18,13,5,0.0389976603605451,0.277777777777778,0.0534469600358659,1.44368349061166
CITSUCCtm,0,4,26,19,0.0417933130699088,0,-Inf,Inf
DNDPt42m,0,4,26,19,0.0417933130699088,0,-Inf,Inf
DUMPtm,0,4,26,19,0.0417933130699088,0,-Inf,Inf
DUTPDPm,0,4,26,19,0.0417933130699088,0,-Inf,Inf
FBA2,0,4,26,19,0.0417933130699088,0,-Inf,Inf
FUMSUCCtm,0,4,26,19,0.0417933130699088,0,-Inf,Inf
GLYALDORy,0,4,26,19,0.0417933130699088,0,-Inf,Inf
KHK,0,4,26,19,0.0417933130699088,0,-Inf,Inf
NKCC2t,0,4,26,19,0.0417933130699088,0,-Inf,Inf
PPCOACRNtm,0,4,26,19,0.0417933130699088,0,-Inf,Inf
SBTD_D2,0,4,26,19,0.0417933130699088,0,-Inf,Inf
SBTR,0,4,26,19,0.0417933130699088,0,-Inf,Inf
THDm,0,4,26,19,0.0417933130699088,0,-Inf,Inf
THRtm,0,4,26,19,0.0417933130699088,0,-Inf,Inf
TXA2tr,0,4,26,19,0.0417933130699088,0,-Inf,Inf
TXB2c,0,4,26,19,0.0417933130699088,0,-Inf,Inf
TXB2r,0,4,26,19,0.0417933130699088,0,-Inf,Inf
TXB2tr,0,4,26,19,0.0417933130699088,0,-Inf,Inf
ASPGLUm,2,7,24,16,0.0453849562175554,0.19047619047619,0.0205574632072562,1.76486654858834
ASPTAm,2,7,24,16,0.0453849562175554,0.19047619047619,0.0205574632072562,1.76486654858834
PPIPItr,2,7,24,16,0.0453849562175554,0.19047619047619,0.0205574632072562,1.76486654858834
THFtm,2,7,24,16,0.0453849562175554,0.19047619047619,0.0205574632072562,1.76486654858834
