DoubleLethal,Counts in Normal,Counts in Cancer,Not SL in Normal,Not SL in Cancer
10FTHFtm;FTCD,0,1,26,23
10FTHFtm;GLUDym,1,0,25,24
10FTHFtm;GluForTx,0,1,26,23
10FTHFtm;HISD,0,1,26,23
10FTHFtm;IZPN,0,1,26,23
10FTHFtm;MTHFC,2,3,24,21
10FTHFtm;MTHFD,2,0,24,24
10FTHFtm;MTHFD2,0,2,26,22
10FTHFtm;URCN,0,1,26,23
15HPETATP;C2tcx,1,0,25,24
15HPETATP;CRNrtx,1,0,25,24
15HPETATP;CSNATp,1,0,25,24
15HPETATP;CSNATr,1,0,25,24
15HPETATP;H2Oter,2,0,24,24
15HPETATP;H2Otp,1,0,25,24
15HPETATP;Htr,1,1,25,23
15HPETATP;PRDX,1,0,25,24
1a25DHVITD3TRn;25HVITD3tm,0,2,26,22
1a25DHVITD3TRn;ALDD19xrm,0,1,26,23
1a25DHVITD3TRn;ALDD19yrm,0,1,26,23
1a25DHVITD3TRn;CCA_D3t,0,2,26,22
1a25DHVITD3TRn;CCA_D3tm,0,2,26,22
25HVITD3c;25HVITD3tm,0,2,26,22
25HVITD3c;ALDD19xrm,0,1,26,23
25HVITD3c;ALDD19yrm,0,1,26,23
25HVITD3c;CCA_D3t,0,2,26,22
25HVITD3c;CCA_D3tm,0,2,26,22
25HVITD3tm;GLUDxm,0,1,26,23
2AMACHYD;GLUDym,0,1,26,23
2AMACHYD;H2O2t,0,1,26,23
2AMACHYD;KCC2t,0,1,26,23
2AMACHYD;NH4tm,0,1,26,23
2AMACSULT;AHCYStn,0,1,26,23
2AMACSULT;AKGtn,0,1,26,23
2AMACSULT;ALCD1,1,0,25,24
2AMACSULT;AMETtn,0,1,26,23
2AMACSULT;AMID6,0,1,26,23
2AMACSULT;CAT,2,0,24,24
2AMACSULT;CO2tn,0,1,26,23
2AMACSULT;CYOOm2,0,1,26,23
2AMACSULT;CYOR_u10m,0,1,26,23
2AMACSULT;FALDtly,1,0,25,24
2AMACSULT;FALDtn,0,1,26,23
2AMACSULT;GPAT,0,1,26,23
2AMACSULT;H2O2tly,1,0,25,24
2AMACSULT;HMGDH,0,1,26,23
2AMACSULT;HMGS,0,1,26,23
2AMACSULT;MEOHtly,1,0,25,24
2AMACSULT;O2t,0,1,26,23
2AMACSULT;O2tn,0,1,26,23
2AMACSULT;PRDXl,1,0,25,24
2AMACSULT;SFGTH,0,1,26,23
