DoubleLethal,Counts in Normal,Counts in Cancer,Not SL in Normal,Not SL in Cancer
10FTHFtm;DHFR,0,2,29,19
10FTHFtm;FDH,0,2,29,19
10FTHFtm;FTCD,0,3,29,18
10FTHFtm;GLUDym,0,1,29,20
10FTHFtm;GluForTx,0,3,29,18
10FTHFtm;HISD,0,3,29,18
10FTHFtm;IZPN,0,3,29,18
10FTHFtm;MTHFC,2,12,27,9
10FTHFtm;MTHFD,0,6,29,15
10FTHFtm;MTHFD2,2,3,27,18
10FTHFtm;THFtm,0,1,29,20
10FTHFtm;URCN,0,3,29,18
13DAMPPOX;METOX,0,1,29,20
13DAMPPOX;PUNP1,1,0,28,21
1PPDCRp;TRDR,2,0,27,21
2AMACHYD;ASPDH,1,0,28,21
2AMACHYD;CATp,1,0,28,21
2AMACHYD;CYSGLTH,0,1,29,20
2AMACHYD;CYSRED,0,1,29,20
2AMACHYD;GLUDym,1,0,28,21
2AMACHYD;GTHOm,1,0,28,21
2AMACHYD;GTHP,0,1,29,20
2AMACHYD;GTHPm,1,0,28,21
2AMACHYD;H2O2tm,1,0,28,21
2AMACHYD;H2O2tp,1,0,28,21
2AOBUTtm;3HAD100m,1,0,28,21
2AOBUTtm;3HAD140m,1,0,28,21
2AOBUTtm;3HAD60m,1,0,28,21
2AOBUTtm;3HAD80m,1,0,28,21
2AOBUTtm;3HDH100m,1,0,28,21
2AOBUTtm;3HDH140m,1,0,28,21
2AOBUTtm;3HDH60m,1,0,28,21
2AOBUTtm;3HDH80m,1,0,28,21
2AOBUTtm;ACACT100m,1,0,28,21
2AOBUTtm;ACACT140m,1,0,28,21
2AOBUTtm;ACACT60m,1,0,28,21
2AOBUTtm;ACACT80m,1,0,28,21
2AOBUTtm;ACCOAL2,1,0,28,21
2AOBUTtm;ACOA40ORm,1,0,28,21
2AOBUTtm;ACOAD100m,1,0,28,21
2AOBUTtm;ACOAD140m,1,0,28,21
2AOBUTtm;ACOAD1fm,1,0,28,21
2AOBUTtm;ACOAD60m,1,0,28,21
2AOBUTtm;ACOAD80m,1,0,28,21
2AOBUTtm;ACOAS,1,0,28,21
2AOBUTtm;ACOATE100m,1,0,28,21
2AOBUTtm;ADK3m,1,0,28,21
2AOBUTtm;ALDD2y,2,0,27,21
2AOBUTtm;AMPt4,1,0,28,21
2AOBUTtm;ECOAH1m,2,0,27,21
2AOBUTtm;ETHPL,1,0,28,21
2AOBUTtm;FACOAL100im,1,0,28,21
2AOBUTtm;HACD1m,2,0,27,21
2AOBUTtm;PPCOACRNtm,1,0,28,21
2AOBUTtm;PPItm,1,0,28,21
2AOBUTtm;TTDCPT1,1,0,28,21
2AOBUTtm;TTDCPT2,1,0,28,21
2AOBUTtm;TTDCRNt,1,0,28,21
2DR1PP;CDS,0,1,29,20
2DR1PP;FBA,0,1,29,20
2DR1PP;Htr,0,1,29,20
2DR1PP;PFK,0,1,29,20
2DR1PP;PGI,0,1,29,20
2MCITt;NH4tm,0,1,29,20
2OBUTtm;AKGSUCCtm,0,1,29,20
2OBUTtm;AMID6,0,1,29,20
2OBUTtm;GPAT,0,1,29,20
2OXOADPTm;ADK3m,1,0,28,21
2OXOADPTm;AKGGHTRDtm,0,1,29,20
2OXOADPTm;ALATA_L,2,0,27,21
2OXOADPTm;AMID6,1,0,28,21
2OXOADPTm;BUTt2m,1,0,28,21
