DoubleLethal,Counts in Normal,Counts in Cancer,Not SL in Normal,Not SL in Cancer
10FTHFtm;FTCD,0,2,23,23
10FTHFtm;GluForTx,0,2,23,23
10FTHFtm;HISD,0,2,23,23
10FTHFtm;IZPN,0,2,23,23
10FTHFtm;MTHFC,0,3,23,22
10FTHFtm;THFtm,0,2,23,23
10FTHFtm;URCN,0,2,23,23
2AMACHYD;NDPK3,3,0,20,25
2AMACHYD;O2t,3,0,20,25
2AOBUTtm;34HPPOR,0,1,23,24
2AOBUTtm;3HAD100m,0,1,23,24
2AOBUTtm;3HAD140m,0,1,23,24
2AOBUTtm;3HAD60m,0,1,23,24
2AOBUTtm;3HAD80m,0,1,23,24
2AOBUTtm;3HDH100m,0,1,23,24
2AOBUTtm;3HDH140m,0,1,23,24
2AOBUTtm;3HDH60m,0,1,23,24
2AOBUTtm;3HDH80m,0,1,23,24
2AOBUTtm;3M4HPGORx,0,1,23,24
2AOBUTtm;3M4HPGORy,0,1,23,24
2AOBUTtm;ACACT100m,0,1,23,24
2AOBUTtm;ACACT140m,0,1,23,24
2AOBUTtm;ACACT60m,0,1,23,24
2AOBUTtm;ACACT80m,0,1,23,24
2AOBUTtm;ACOA40ORm,0,3,23,22
2AOBUTtm;ACOAD100m,0,1,23,24
2AOBUTtm;ACOAD140m,0,1,23,24
2AOBUTtm;ACOAD1fm,0,4,23,21
2AOBUTtm;ACOAD60m,0,1,23,24
2AOBUTtm;ACOAD80m,0,1,23,24
2AOBUTtm;ACOATE100m,0,1,23,24
2AOBUTtm;ACONTa,0,1,23,24
2AOBUTtm;ACONTb,0,1,23,24
2AOBUTtm;AGTim,1,2,22,23
2AOBUTtm;AKGICITtm,0,1,23,24
2AOBUTtm;ALATA_L,0,1,23,24
2AOBUTtm;AMPt4,0,2,23,23
2AOBUTtm;ARTFR13,0,1,23,24
2AOBUTtm;ARTFR32,0,1,23,24
2AOBUTtm;ARTFR42,0,1,23,24
2AOBUTtm;ATPADPtp,1,0,22,25
