DoubleLethal,Counts in Normal,Counts in Cancer,Not SL in Normal,Not SL in Cancer
10FTHFtm;DHFR,0,1,29,25
10FTHFtm;MTHFC,0,4,29,22
10FTHFtm;MTHFD2,0,4,29,22
15HPETATP;3HAD100m,1,0,28,26
15HPETATP;3HAD140m,1,0,28,26
15HPETATP;3HAD60m,1,0,28,26
15HPETATP;3HAD80m,1,0,28,26
15HPETATP;3HDH100m,1,0,28,26
15HPETATP;3HDH140m,1,0,28,26
15HPETATP;3HDH60m,1,0,28,26
15HPETATP;3HDH80m,1,0,28,26
15HPETATP;ACACT100m,1,0,28,26
15HPETATP;ACACT140m,1,0,28,26
15HPETATP;ACACT60m,1,0,28,26
15HPETATP;ACACT80m,1,0,28,26
15HPETATP;ACOAD100m,1,0,28,26
15HPETATP;ACOAD140m,1,0,28,26
15HPETATP;ACOAD60m,1,0,28,26
15HPETATP;ACOAD80m,1,0,28,26
15HPETATP;ACOATE100m,1,0,28,26
15HPETATP;ACONTb,1,0,28,26
15HPETATP;ACONTbm,1,0,28,26
15HPETATP;ADK3m,1,0,28,26
15HPETATP;AKGDa1,1,0,28,26
15HPETATP;AKGDa2,1,0,28,26
15HPETATP;AKGDb,1,0,28,26
15HPETATP;ARTFR41,1,0,28,26
15HPETATP;BTCOACRNtm,1,0,28,26
15HPETATP;C161CPT1,1,0,28,26
15HPETATP;CACT4r,1,0,28,26
15HPETATP;COAtr,1,0,28,26
15HPETATP;CRNtim,1,0,28,26
15HPETATP;DESAT16_1,1,0,28,26
15HPETATP;DLD,1,0,28,26
15HPETATP;ETHMALACc,1,0,28,26
15HPETATP;ETHMALACte,1,0,28,26
15HPETATP;ETHMALCOAc,1,0,28,26
15HPETATP;FACOAL100im,1,0,28,26
15HPETATP;Htr,1,2,28,24
15HPETATP;PLMCOAPTr,1,0,28,26
15HPETATP;RTOT4,1,0,28,26
15HPETATP;SUCCICITtm,1,0,28,26
15HPETATP;SUCCt4_3,1,0,28,26
15HPETATP;SUCOAS1m,1,0,28,26
15HPETATP;TTDCPT1,1,0,28,26
15HPETATP;TTDCPT2,1,0,28,26
15HPETATP;TTDCRNt,1,0,28,26
25HVITD3t;AKGSUCCtm,0,1,29,25
25HVITD3t;H2Oter,0,1,29,25
25HVITD3t;PIMALtm,0,1,29,25
25HVITD3t;SO4AKGtm,0,1,29,25
25HVITD3t;SO4MALtm,0,1,29,25
2AMACHYD;3HCO3_NAt,1,0,28,26
2AMACHYD;ACGAM6PSi,1,1,28,25
2AMACHYD;ACGAMPM,1,1,28,25
2AMACHYD;ACNAM9PL,1,1,28,25
2AMACHYD;ACNAMPH,1,1,28,25
2AMACHYD;AG13T16g,0,1,29,25
2AMACHYD;AG13T17g,0,1,29,25
2AMACHYD;AG13T18g,0,1,29,25
2AMACHYD;AMANK,1,1,28,25
2AMACHYD;CAT,1,0,28,26
2AMACHYD;CMPACNAtg,1,1,28,25
2AMACHYD;CMPSAS,1,1,28,25
2AMACHYD;CORE3GTg,0,1,29,25
2AMACHYD;CORE4GTg,0,1,29,25
2AMACHYD;G14T18g,0,1,29,25
2AMACHYD;G14T19g,0,1,29,25
2AMACHYD;G14T20g,0,1,29,25
2AMACHYD;G14T21g,0,1,29,25
2AMACHYD;GALNTg,0,1,29,25
2AMACHYD;GALU,2,1,27,25
2AMACHYD;GF6PTA,1,1,28,25
2AMACHYD;GLUt6,1,0,28,26
2AMACHYD;H2Otg,2,1,27,25
2AMACHYD;Htg,2,1,27,25
2AMACHYD;KSII_CORE4t,0,1,29,25
2AMACHYD;NDP7g,2,1,27,25
2AMACHYD;PAPStg,2,1,27,25
2AMACHYD;PAPtg,2,1,27,25
2AMACHYD;PGMT,2,1,27,25
2AMACHYD;PItg,2,1,27,25
2AMACHYD;S23T4g,0,1,29,25
2AMACHYD;S6T16g,0,1,29,25
2AMACHYD;S6T17g,0,1,29,25
2AMACHYD;S6T18g,0,1,29,25
2AMACHYD;TYROX,1,0,28,26
2AMACHYD;TYRTA,1,0,28,26
2AMACHYD;UAG2EMAi,1,1,28,25
2AMACHYD;UAG4E,0,1,29,25
2AMACHYD;UAGDP,1,1,28,25
2AMACHYD;UDPG4E,2,1,27,25
2AMACHYD;UDPGALtg,2,1,27,25
2AMACHYD;UGALNACtg,0,1,29,25
2AMACHYD;UGLCNACtg,1,1,28,25
2AMACSULT;B3GNT38g,1,0,28,26
2AMACSULT;CERT1gt,1,0,28,26
2AMACSULT;DIGALSGALSIDEte,1,0,28,26
2AMACSULT;DIGALSGALSIDEtg,1,0,28,26
2AMACSULT;GAL3ST12,1,0,28,26
2AMACSULT;GALU,1,0,28,26
2AMACSULT;H2Otg,1,0,28,26
2AMACSULT;Htg,1,0,28,26
2AMACSULT;NDP7g,1,0,28,26
2AMACSULT;NKCC2t,0,1,29,25
2AMACSULT;PAPStg,1,0,28,26
2AMACSULT;PAPtg,1,0,28,26
2AMACSULT;PGMT,1,0,28,26
2AMACSULT;PItg,1,0,28,26
2AMACSULT;PPA,1,0,28,26
2AMACSULT;SO4t4_3,0,1,29,25
2AMACSULT;UDPG4E,1,0,28,26
2AMACSULT;UDPGALtg,1,0,28,26
2AMACSULT;UGALCG,1,0,28,26
2AMADPTm;4MPTNLte,1,0,28,26
2AMADPTm;4MPTNLtm,1,0,28,26
2AMADPTm;ACONTam,1,0,28,26
2AMADPTm;ADNK3,2,0,27,26
2AMADPTm;AHC,2,0,27,26
2AMADPTm;AHCYStn,2,0,27,26
2AMADPTm;AKGCITtm,1,0,28,26
2AMADPTm;AKGtn,2,0,27,26
2AMADPTm;ALCD1,2,0,27,26
2AMADPTm;AMETtn,2,0,27,26
2AMADPTm;CHSTEROLt2,1,0,28,26
2AMADPTm;CO2tn,2,0,27,26
2AMADPTm;FALDtn,2,0,27,26
2AMADPTm;GLUDym,1,0,28,26
2AMADPTm;GLYATm,1,0,28,26
2AMADPTm;GLYtm,1,0,28,26
2AMADPTm;HCO3E,1,0,28,26
2AMADPTm;HSD3B11,1,0,28,26
2AMADPTm;ICDHyr,1,0,28,26
2AMADPTm;MAL_Lte,0,1,29,25
2AMADPTm;MEOHt2,2,0,27,26
2AMADPTm;METAT,2,0,27,26
2AMADPTm;NH4t3r,2,0,27,26
2AMADPTm;NH4tm,2,0,27,26
2AMADPTm;O2tn,1,0,28,26
2AMADPTm;OXALSUCCCL,1,0,28,26
2AMADPTm;P45011A1m,1,0,28,26
2AMADPTm;PRGNLONEtm,1,0,28,26
2AMADPTm;PRGSTRNt,1,0,28,26
2AMADPTm;PYRt2r,1,0,28,26
2AMADPTm;PYRtm,1,0,28,26
2AMADPTm;SUCCACONtm,1,0,28,26
2AMADPTm;SUCCt4_2,1,0,28,26
2AOBUTtm;2MCITt,0,2,29,24
2AOBUTtm;3HAD100m,1,2,28,24
2AOBUTtm;3HAD140m,1,2,28,24
2AOBUTtm;3HAD60m,1,2,28,24
2AOBUTtm;3HAD80m,1,2,28,24
2AOBUTtm;3HDH100m,1,2,28,24
2AOBUTtm;3HDH140m,1,2,28,24
2AOBUTtm;3HDH60m,1,2,28,24
2AOBUTtm;3HDH80m,1,2,28,24
2AOBUTtm;3HPCOAHYDm,0,2,29,24
2AOBUTtm;3HPPDm,0,2,29,24
2AOBUTtm;5AOPtm,0,1,29,25
2AOBUTtm;ACACPYRte,0,1,29,25
2AOBUTtm;ACACT100m,1,2,28,24
2AOBUTtm;ACACT140m,1,2,28,24
2AOBUTtm;ACACT60m,1,2,28,24
2AOBUTtm;ACACT80m,1,2,28,24
2AOBUTtm;ACACt2,0,1,29,25
2AOBUTtm;ACHtn,0,1,29,25
2AOBUTtm;ACITL,0,1,29,25
2AOBUTtm;ACITLn,0,1,29,25
2AOBUTtm;ACOA40ORm,1,0,28,26
2AOBUTtm;ACOAD100m,1,2,28,24
2AOBUTtm;ACOAD140m,1,2,28,24
2AOBUTtm;ACOAD1fm,0,1,29,25
2AOBUTtm;ACOAD60m,1,2,28,24
2AOBUTtm;ACOAD80m,1,2,28,24
2AOBUTtm;ACOATE100m,1,2,28,24
2AOBUTtm;ACONTa,0,2,29,24
2AOBUTtm;ACONTam,0,1,29,25
2AOBUTtm;ACONTb,2,2,27,24
2AOBUTtm;ACONTbm,2,0,27,26
2AOBUTtm;ACt2r,0,1,29,25
2AOBUTtm;ADK3m,1,1,28,25
2AOBUTtm;ADNK1,0,1,29,25
2AOBUTtm;ADNK3,1,3,28,23
2AOBUTtm;ADPtn,0,1,29,25
2AOBUTtm;AHC,1,4,28,22
2AOBUTtm;AKGACONtm,1,0,28,26
2AOBUTtm;AKGCITtm,0,1,29,25
2AOBUTtm;AKGDa1,1,1,28,25
2AOBUTtm;AKGDa2,1,1,28,25
2AOBUTtm;AKGDb,1,1,28,25
2AOBUTtm;AKGICITtm,1,0,28,26
2AOBUTtm;ALASm,0,1,29,25
2AOBUTtm;ALDD19xrm,1,0,28,26
2AOBUTtm;ALDD19yrm,1,0,28,26
2AOBUTtm;AMETt2m,1,0,28,26
2AOBUTtm;AMPTASECGe,0,1,29,25
2AOBUTtm;AMPt4,1,1,28,25
2AOBUTtm;APAT2rm,1,0,28,26
2AOBUTtm;ARTFR12,1,1,28,25
2AOBUTtm;ARTFR41,1,1,28,25
2AOBUTtm;ATPS4m,1,0,28,26
2AOBUTtm;ATPt4,0,1,29,25
2AOBUTtm;ATPtn,0,1,29,25
2AOBUTtm;BALAtmr,1,0,28,26
2AOBUTtm;BILDGLCURt5e,0,1,29,25
2AOBUTtm;BILDGLCURtr,0,1,29,25
2AOBUTtm;BILIRED,0,1,29,25
