DoubleLethal,Counts in Normal,Counts in Cancer,Not SL in Normal,Not SL in Cancer
10FTHFtm;HCO3E,0,1,19,20
10FTHFtm;MTHFC,0,1,19,20
10FTHFtm;MTHFD2,0,1,19,20
10FTHFtm;THFtm,0,1,19,20
25HVITD3t;4MPTNLte,0,1,19,20
25HVITD3t;4MPTNLtm,0,1,19,20
25HVITD3t;HSD3B11,0,1,19,20
25HVITD3t;P45011A1m,0,1,19,20
25HVITD3t;PRGNLONEtm,0,1,19,20
25HVITD3t;PRGSTRNt,0,1,19,20
2AMACHYD;ACACLACte,0,1,19,20
2AMACHYD;ACACPYRte,0,2,19,19
2AMACHYD;ALDD19x,0,1,19,20
2AMACHYD;ALDD19y,0,1,19,20
2AMACHYD;B3GNT38g,0,1,19,20
2AMACHYD;CERT1gt,0,1,19,20
2AMACHYD;CO2t,0,1,19,20
2AMACHYD;DIGALSGALSIDEte,0,1,19,20
2AMACHYD;DIGALSGALSIDEtg,0,1,19,20
2AMACHYD;FCYTOB5OXRr,0,1,19,20
2AMACHYD;GAL3ST12,0,1,19,20
2AMACHYD;GALU,0,1,19,20
2AMACHYD;GLUDxm,1,1,18,20
2AMACHYD;H2Otg,0,1,19,20
2AMACHYD;HCO3E,0,1,19,20
2AMACHYD;HCO3Ee,0,1,19,20
2AMACHYD;HCO3_2NAt,1,0,18,21
2AMACHYD;HCO3_CLt,2,0,17,21
2AMACHYD;Htg,0,1,19,20
2AMACHYD;Htr,0,2,19,19
2AMACHYD;KCC2t,0,1,19,20
2AMACHYD;NADH2_u10m,0,1,19,20
2AMACHYD;NADHtru,0,1,19,20
2AMACHYD;NADtru,0,1,19,20
2AMACHYD;NAHCO3_HCLt,1,0,18,21
2AMACHYD;NAt3_1,1,0,18,21
2AMACHYD;NDP7g,0,1,19,20
2AMACHYD;NH4tm,0,1,19,20
2AMACHYD;PAPStg,0,1,19,20
2AMACHYD;PAPtg,0,1,19,20
2AMACHYD;PGMT,0,1,19,20
2AMACHYD;PIMALtm,0,1,19,20
2AMACHYD;PItg,0,1,19,20
2AMACHYD;PPA,1,0,18,21
2AMACHYD;PROGLUtm,0,1,19,20
2AMACHYD;PROtm,0,1,19,20
2AMACHYD;PYK,0,1,19,20
2AMACHYD;RTOT4,1,0,18,21
2AMACHYD;SERt4,0,1,19,20
2AMACHYD;SO3AKGtm,0,1,19,20
2AMACHYD;SO3MALtm,0,1,19,20
2AMACHYD;SO4CLtex,2,0,17,21
2AMACHYD;UDPG4E,0,1,19,20
2AMACHYD;UDPGALtg,0,1,19,20
2AMACHYD;UGALCG,0,1,19,20
2AOBUTtm;GLNtm,1,0,18,21
2AOBUTtm;GLUNm,1,0,18,21
2AOBUTtm;KCC2t,1,0,18,21
2AOBUTtm;NH4tm,1,0,18,21
2AOBUTtm;PROGLUtm,1,0,18,21
2AOBUTtm;PROtm,1,0,18,21
2AOBUTtm;THDm,3,0,16,21
2AOBUTtm;THRtm,3,0,16,21
2HYOXPLCte;GLYSNAT5tc,0,1,19,20
34HPPte;KCC2t,1,0,18,21
3HAD203n6p;H2O2syn,1,0,18,21
3HAD203n6p;PPA,5,1,14,20
3HAD241n9p;AGTim,1,0,18,21
3HAD241n9p;AKGSUCCtm,1,0,18,21
3HAD241n9p;AMID6,1,0,18,21
3HAD241n9p;AMID6m,1,0,18,21
3HAD241n9p;ARTFR43,2,0,17,21
3HAD241n9p;CITRt2m,1,0,18,21
3HAD241n9p;CITRtm,1,0,18,21
3HAD241n9p;DESAT16_1,2,0,17,21
3HAD241n9p;DRPA,1,0,18,21
3HAD241n9p;DURIPP,1,0,18,21
3HAD241n9p;FAE181,2,0,17,21
3HAD241n9p;FUMMALtm,1,0,18,21
3HAD241n9p;GLNtm,1,0,18,21
3HAD241n9p;GLUDxm,2,0,17,21
3HAD241n9p;GLXtm,1,0,18,21
3HAD241n9p;GLXtp,1,0,18,21
3HAD241n9p;GLYOp,1,0,18,21
3HAD241n9p;GLYtm,1,0,18,21
3HAD241n9p;GLYtp,1,0,18,21
3HAD241n9p;GPAT,1,0,18,21
3HAD241n9p;GPATm,1,0,18,21
3HAD241n9p;H2Otp,1,0,18,21
3HAD241n9p;HACD181,2,0,17,21
3HAD241n9p;HCO3Em,0,1,19,20
3HAD241n9p;HSD181,2,0,17,21
3HAD241n9p;MTHFC,1,0,18,21
3HAD241n9p;MTHFD2,1,0,18,21
3HAD241n9p;NH4tp,1,0,18,21
3HAD241n9p;OCTD11ECOAtr,2,0,17,21
3HAD241n9p;PIMALtm,1,0,18,21
3HAD241n9p;PPM,1,0,18,21
3HAD241n9p;PPM2,1,0,18,21
3HAD241n9p;PROGLUtm,2,0,17,21
3HAD241n9p;PROtm,2,0,17,21
3HAD241n9p;PYNP2r,1,0,18,21
3HAD241n9p;RTOT3,7,2,12,19
3HAD241n9p;RTOT4,5,4,14,17
3HAD241n9p;SO3AKGtm,1,0,18,21
3HAD241n9p;SO3MALtm,1,0,18,21
3HAD241n9p;TECR181,2,0,17,21
3HAD241n9p;TRDOXtm,1,0,18,21
3HAD241n9p;TRDRDtm,1,0,18,21
3HAD241n9p;TRDRm,1,0,18,21
3HAD241n9p;URIK2,1,0,18,21
3HDH203n6p;H2O2syn,1,0,18,21
3HDH203n6p;PPA,5,1,14,20
3HDH224n6p;AKGSUCCtm,1,0,18,21
3HDH224n6p;AMID6,1,0,18,21
3HDH224n6p;ARTFR43,1,0,18,21
3HDH224n6p;CITRt2m,1,0,18,21
3HDH224n6p;CITRtm,1,0,18,21
3HDH224n6p;DESAT16_1,1,0,18,21
3HDH224n6p;FAE181,1,0,18,21
3HDH224n6p;FUMMALtm,1,0,18,21
3HDH224n6p;GPAT,1,0,18,21
3HDH224n6p;HACD181,1,0,18,21
3HDH224n6p;HSD181,1,0,18,21
3HDH224n6p;OCTD11ECOAtr,1,0,18,21
3HDH224n6p;PIMALtm,1,0,18,21
3HDH224n6p;PROGLUtm,1,0,18,21
3HDH224n6p;PROtm,1,0,18,21
3HDH224n6p;RTOT3,5,0,14,21
3HDH224n6p;RTOT4,1,0,18,21
3HDH224n6p;SO3AKGtm,1,0,18,21
3HDH224n6p;SO3MALtm,1,0,18,21
3HDH224n6p;TECR181,1,0,18,21
3HDH241n9p;AGTim,1,0,18,21
