DoubleLethal,CountsInNormal,CountsInCancer,NotSLInNormal,NotSLInCancer,p-value,OddsRatio,ConfidenceInterval-I,ConfidenceInterval-II
3DPHBH1;ATPS4m,21,10,2,15,0.00020616856341745,15.75,1.78580138546332,138.908224631958
34HPLFM;ATPS4m,21,11,2,14,0.000534380218429411,13.3636363636364,1.52526952551918,117.085389743636
4HBZCOAFm;ATPS4m,21,11,2,14,0.000534380218429411,13.3636363636364,1.52526952551918,117.085389743636
4HBZFm;ATPS4m,21,11,2,14,0.000534380218429411,13.3636363636364,1.52526952551918,117.085389743636
AMETt2m;ATPS4m,21,11,2,14,0.000534380218429411,13.3636363636364,1.52526952551918,117.085389743636
ATPS4m;COQ3m,21,11,2,14,0.000534380218429411,13.3636363636364,1.52526952551918,117.085389743636
ATPS4m;COQ5m,21,11,2,14,0.000534380218429411,13.3636363636364,1.52526952551918,117.085389743636
ATPS4m;COQ6m,21,11,2,14,0.000534380218429411,13.3636363636364,1.52526952551918,117.085389743636
ATPS4m;COQ7m,21,11,2,14,0.000534380218429411,13.3636363636364,1.52526952551918,117.085389743636
ATPS4m;COUCOAFm,21,11,2,14,0.000534380218429411,13.3636363636364,1.52526952551918,117.085389743636
ATPS4m;DECDPtm,21,11,2,14,0.000534380218429411,13.3636363636364,1.52526952551918,117.085389743636
ATPS4m;DHDPBMTm,21,11,2,14,0.000534380218429411,13.3636363636364,1.52526952551918,117.085389743636
ATPS4m;DPHMBDCm,21,11,2,14,0.000534380218429411,13.3636363636364,1.52526952551918,117.085389743636
ATPS4m;DPPS,21,11,2,14,0.000534380218429411,13.3636363636364,1.52526952551918,117.085389743636
ATPS4m;FRDPtc,21,11,2,14,0.000534380218429411,13.3636363636364,1.52526952551918,117.085389743636
ATPS4m;HBZOPT10m,21,11,2,14,0.000534380218429411,13.3636363636364,1.52526952551918,117.085389743636
ATPS4m;Q10H2e,21,11,2,14,0.000534380218429411,13.3636363636364,1.52526952551918,117.085389743636
ATPS4m;T4HCINNMFM,21,11,2,14,0.000534380218429411,13.3636363636364,1.52526952551918,117.085389743636
ATPS4m;TYRTAm,21,11,2,14,0.000534380218429411,13.3636363636364,1.52526952551918,117.085389743636
ATPS4m;TYRtl,21,11,2,14,0.000534380218429411,13.3636363636364,1.52526952551918,117.085389743636
ATPS4m;q10h2tc,21,11,2,14,0.000534380218429411,13.3636363636364,1.52526952551918,117.085389743636
BPGP;PEPCK,8,0,15,25,0.00129936479968461,Inf,-Inf,Inf
DPGM;PEPCK,8,0,15,25,0.00129936479968461,Inf,-Inf,Inf
3DPHBH1;CYOR_u10m,21,13,2,12,0.00298502724251871,9.69230769230769,1.10976683920987,84.6491578981141
ACOATE204;TRDR,9,1,14,24,0.00329838756843017,15.4285714285714,0.892457969262124,266.724960194305
MAL_Lte;PYRtm,7,0,16,25,0.00332962229919181,Inf,-Inf,Inf
34HPLFM;CYOR_u10m,21,14,2,11,0.00649220321321792,8.25,0.941620472386839,72.2823069335714
4HBZCOAFm;CYOR_u10m,21,14,2,11,0.00649220321321792,8.25,0.941620472386839,72.2823069335714
4HBZFm;CYOR_u10m,21,14,2,11,0.00649220321321792,8.25,0.941620472386839,72.2823069335714
AMETt2m;CYOR_u10m,21,14,2,11,0.00649220321321792,8.25,0.941620472386839,72.2823069335714
COQ3m;CYOR_u10m,21,14,2,11,0.00649220321321792,8.25,0.941620472386839,72.2823069335714
COQ5m;CYOR_u10m,21,14,2,11,0.00649220321321792,8.25,0.941620472386839,72.2823069335714
COQ6m;CYOR_u10m,21,14,2,11,0.00649220321321792,8.25,0.941620472386839,72.2823069335714
COQ7m;CYOR_u10m,21,14,2,11,0.00649220321321792,8.25,0.941620472386839,72.2823069335714
COUCOAFm;CYOR_u10m,21,14,2,11,0.00649220321321792,8.25,0.941620472386839,72.2823069335714
CYOR_u10m;DECDPtm,21,14,2,11,0.00649220321321792,8.25,0.941620472386839,72.2823069335714
CYOR_u10m;DHDPBMTm,21,14,2,11,0.00649220321321792,8.25,0.941620472386839,72.2823069335714
CYOR_u10m;DPHMBDCm,21,14,2,11,0.00649220321321792,8.25,0.941620472386839,72.2823069335714
CYOR_u10m;DPPS,21,14,2,11,0.00649220321321792,8.25,0.941620472386839,72.2823069335714
CYOR_u10m;FRDPtc,21,14,2,11,0.00649220321321792,8.25,0.941620472386839,72.2823069335714
CYOR_u10m;HBZOPT10m,21,14,2,11,0.00649220321321792,8.25,0.941620472386839,72.2823069335714
CYOR_u10m;Q10H2e,21,14,2,11,0.00649220321321792,8.25,0.941620472386839,72.2823069335714
CYOR_u10m;T4HCINNMFM,21,14,2,11,0.00649220321321792,8.25,0.941620472386839,72.2823069335714
CYOR_u10m;TYRTAm,21,14,2,11,0.00649220321321792,8.25,0.941620472386839,72.2823069335714
CYOR_u10m;TYRtl,21,14,2,11,0.00649220321321792,8.25,0.941620472386839,72.2823069335714
CYOR_u10m;q10h2tc,21,14,2,11,0.00649220321321792,8.25,0.941620472386839,72.2823069335714
CATp;GLUDym,8,1,15,24,0.00779618879810766,12.8,0.732599570899474,223.641954634016
MAL_Lte;ME2m,8,1,15,24,0.00779618879810766,12.8,0.732599570899474,223.641954634016
34HPPOR;ECOAH1m,6,0,17,25,0.00822612568035625,Inf,-Inf,Inf
34HPPOR;HACD1m,6,0,17,25,0.00822612568035625,Inf,-Inf,Inf
ACACPYRtm;ECOAH1m,6,0,17,25,0.00822612568035625,Inf,-Inf,Inf
ACACPYRtm;HACD1m,6,0,17,25,0.00822612568035625,Inf,-Inf,Inf
ACt2m;ALDD2y,6,0,17,25,0.00822612568035625,Inf,-Inf,Inf
ADNtm;ATPS4m,6,0,17,25,0.00822612568035625,Inf,-Inf,Inf
ADNtm;CYOR_u10m,6,0,17,25,0.00822612568035625,Inf,-Inf,Inf
ALDD2y;CITOAL,6,0,17,25,0.00822612568035625,Inf,-Inf,Inf
AMPPHm;ATPS4m,6,0,17,25,0.00822612568035625,Inf,-Inf,Inf
AMPPHm;CYOR_u10m,6,0,17,25,0.00822612568035625,Inf,-Inf,Inf
ASPDH;BPGP,6,0,17,25,0.00822612568035625,Inf,-Inf,Inf
ASPDH;DPGM,6,0,17,25,0.00822612568035625,Inf,-Inf,Inf
ECOAH1m;FUMAC,6,0,17,25,0.00822612568035625,Inf,-Inf,Inf
ECOAH1m;HGNTOR,6,0,17,25,0.00822612568035625,Inf,-Inf,Inf
ECOAH1m;MACACIr,6,0,17,25,0.00822612568035625,Inf,-Inf,Inf
ECOAH1m;TYRTA,6,0,17,25,0.00822612568035625,Inf,-Inf,Inf
FUMAC;HACD1m,6,0,17,25,0.00822612568035625,Inf,-Inf,Inf
HACD1m;HGNTOR,6,0,17,25,0.00822612568035625,Inf,-Inf,Inf
HACD1m;MACACIr,6,0,17,25,0.00822612568035625,Inf,-Inf,Inf
HACD1m;TYRTA,6,0,17,25,0.00822612568035625,Inf,-Inf,Inf
MI1PP;PIK4,16,8,7,17,0.00992736093962147,4.85714285714286,0.973883191106081,24.2245034621653
ADNK1;CHOLK,7,1,16,24,0.0175414247957423,10.5,0.591520463689696,186.384084351536
ADNK1;CHOLtu,7,1,16,24,0.0175414247957423,10.5,0.591520463689696,186.384084351536
AHC;CHOLK,7,1,16,24,0.0175414247957423,10.5,0.591520463689696,186.384084351536
AHC;CHOLtu,7,1,16,24,0.0175414247957423,10.5,0.591520463689696,186.384084351536
AMETEPMT;PE_HStm,7,1,16,24,0.0175414247957423,10.5,0.591520463689696,186.384084351536
