DoubleLethal,CountsInNormal,CountsInCancer,NotSLInNormal,NotSLInCancer,p-value,OddsRatio,ConfidenceInterval-I,ConfidenceInterval-II
PGI;RPE,13,0,16,26,4.67645468719101e-05,Inf,-Inf,Inf
PGI;TKT1,13,0,16,26,4.67645468719101e-05,Inf,-Inf,Inf
PGI;TKT2,13,0,16,26,4.67645468719101e-05,Inf,-Inf,Inf
H2Ot;UREAt,12,0,17,26,0.000118286795028949,Inf,-Inf,Inf
H2Ot;UREAt5,12,0,17,26,0.000118286795028949,Inf,-Inf,Inf
ILEPHELAT2tc;ILEt4,11,0,18,26,0.000289145498959653,Inf,-Inf,Inf
FBA;PGI,10,0,19,26,0.000684818287009706,Inf,-Inf,Inf
LEUPHELAT2tc;LEUt4,10,0,19,26,0.000684818287009706,Inf,-Inf,Inf
PFK;PGI,10,0,19,26,0.000684818287009706,Inf,-Inf,Inf
VALPHELAT2tc;VALt4,10,0,19,26,0.000684818287009706,Inf,-Inf,Inf
FBA3;PFK,9,0,20,26,0.00157508206012232,Inf,-Inf,Inf
FBA3;PGI,9,0,20,26,0.00157508206012232,Inf,-Inf,Inf
FBA;FBA3,9,0,20,26,0.00157508206012232,Inf,-Inf,Inf
FBA;PFK_3,9,0,20,26,0.00157508206012232,Inf,-Inf,Inf
FBA;RPE,9,0,20,26,0.00157508206012232,Inf,-Inf,Inf
FBA;TKT1,9,0,20,26,0.00157508206012232,Inf,-Inf,Inf
FBA;TKT2,9,0,20,26,0.00157508206012232,Inf,-Inf,Inf
FECR;SBTR,9,0,20,26,0.00157508206012232,Inf,-Inf,Inf
FECR;SBT_Dtde,9,0,20,26,0.00157508206012232,Inf,-Inf,Inf
PFK;PFK_3,9,0,20,26,0.00157508206012232,Inf,-Inf,Inf
PFK;RPE,9,0,20,26,0.00157508206012232,Inf,-Inf,Inf
PFK;TKT1,9,0,20,26,0.00157508206012232,Inf,-Inf,Inf
PFK;TKT2,9,0,20,26,0.00157508206012232,Inf,-Inf,Inf
PFK_3;PGI,9,0,20,26,0.00157508206012232,Inf,-Inf,Inf
ETHP;PE_HStm,8,0,21,26,0.00352518365836901,Inf,-Inf,Inf
ETHP;PSDm_hs,8,0,21,26,0.00352518365836901,Inf,-Inf,Inf
ETHP;PSFLIPm,8,0,21,26,0.00352518365836901,Inf,-Inf,Inf
FERO;SBTR,8,0,21,26,0.00352518365836901,Inf,-Inf,Inf
FERO;SBT_Dtde,8,0,21,26,0.00352518365836901,Inf,-Inf,Inf
G6PDH2rer;NADPHtru,8,0,21,26,0.00352518365836901,Inf,-Inf,Inf
G6PDH2rer;NADPtru,8,0,21,26,0.00352518365836901,Inf,-Inf,Inf
GNDer;NADPHtru,8,0,21,26,0.00352518365836901,Inf,-Inf,Inf
GNDer;NADPtru,8,0,21,26,0.00352518365836901,Inf,-Inf,Inf
NADPHtru;PGLer,8,0,21,26,0.00352518365836901,Inf,-Inf,Inf
NADPHtru;RU5Ptr,8,0,21,26,0.00352518365836901,Inf,-Inf,Inf
NADPtru;PGLer,8,0,21,26,0.00352518365836901,Inf,-Inf,Inf
NADPtru;RU5Ptr,8,0,21,26,0.00352518365836901,Inf,-Inf,Inf
PE_HStm;PSSA2_hs,8,0,21,26,0.00352518365836901,Inf,-Inf,Inf
PSDm_hs;PSSA2_hs,8,0,21,26,0.00352518365836901,Inf,-Inf,Inf
PSFLIPm;PSSA2_hs,8,0,21,26,0.00352518365836901,Inf,-Inf,Inf
PPA;PPItm,7,0,22,26,0.00769130980007784,Inf,-Inf,Inf
ADNK3;CHOLt4,6,0,23,26,0.016385833921905,Inf,-Inf,Inf
AHC;CHOLt4,6,0,23,26,0.016385833921905,Inf,-Inf,Inf
AMETt2m;CHOLt4,6,0,23,26,0.016385833921905,Inf,-Inf,Inf
CACT6r;PPNCL3,6,0,23,26,0.016385833921905,Inf,-Inf,Inf
CHOLt4;METAT,6,0,23,26,0.016385833921905,Inf,-Inf,Inf
CHOLt4;PCFLOPm,6,0,23,26,0.016385833921905,Inf,-Inf,Inf
CHOLt4;PETOHMm_hs,6,0,23,26,0.016385833921905,Inf,-Inf,Inf
FBA;G6PDH2r,6,0,23,26,0.016385833921905,Inf,-Inf,Inf
FBA;GND,6,0,23,26,0.016385833921905,Inf,-Inf,Inf
FBA;PGL,6,0,23,26,0.016385833921905,Inf,-Inf,Inf
G6PDH2r;PFK,6,0,23,26,0.016385833921905,Inf,-Inf,Inf
G6PDH2rer;G6Pter,6,0,23,26,0.016385833921905,Inf,-Inf,Inf
G6Pter;GNDer,6,0,23,26,0.016385833921905,Inf,-Inf,Inf
G6Pter;PGLer,6,0,23,26,0.016385833921905,Inf,-Inf,Inf
G6Pter;RU5Ptr,6,0,23,26,0.016385833921905,Inf,-Inf,Inf
GND;PFK,6,0,23,26,0.016385833921905,Inf,-Inf,Inf
HISt4;HIStiDF,6,0,23,26,0.016385833921905,Inf,-Inf,Inf
MALCOAMT;PPNCL3,6,0,23,26,0.016385833921905,Inf,-Inf,Inf
MALCOAMTr;PPNCL3,6,0,23,26,0.016385833921905,Inf,-Inf,Inf
PFK;PGL,6,0,23,26,0.016385833921905,Inf,-Inf,Inf
PMTCOAFABP1tc;PPNCL3,6,0,23,26,0.016385833921905,Inf,-Inf,Inf
PPAer;PPItr,6,0,23,26,0.016385833921905,Inf,-Inf,Inf
TYRPHELAT2tc;TYRt4,6,0,23,26,0.016385833921905,Inf,-Inf,Inf
MI14PP;MI1PP,8,1,21,25,0.0191259964443425,9.52380952380952,0.558398669081146,162.434033009173
MI14PP;PIPLC,8,1,21,25,0.0191259964443425,9.52380952380952,0.558398669081146,162.434033009173
MI1PP;MI4PP,8,1,21,25,0.0191259964443425,9.52380952380952,0.558398669081146,162.434033009173
MI4PP;PIPLC,8,1,21,25,0.0191259964443425,9.52380952380952,0.558398669081146,162.434033009173
5AOPtm;ACGAMPM,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
5AOPtm;UAGDP,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
ACGAMPM;ALASm,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
ACGAMPM;BILIRUBtr,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
ACGAMPM;COt,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
ACGAMPM;CPPPGO,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
ACGAMPM;FCLTm,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
ACGAMPM;FE2tm,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
ACGAMPM;HMBS,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
ACGAMPM;HOXG,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
ACGAMPM;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
ACGAMPM;PPBNGS,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
ACGAMPM;PPPG9tm,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
ACGAMPM;PPPGOm,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
ACGAMPM;UDPGD,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
ACGAMPM;UDPGLCAter,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
ACGAMPM;UPP3S,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
ACGAMPM;UPPDC1,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
ACONTbm;ICDHyr,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
ACONTbm;OXALSUCCCL,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
ALASm;UAGDP,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
BDMT;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
BILIRUBtr;UAGDP,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
COt;UAGDP,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
CPPPGO;UAGDP,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
DOLASNTer;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
DOLDPPer;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
DOLGLCP_ter;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
DOLMANP_ter;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
DOLPGT1er;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
DOLPGT2er;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
DOLPGT3er;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
DOLPMT1er;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
DOLPMT2_er;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
DOLPMT3er;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
DOLPMT4_er;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
DOLPMT;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
DOLP_ter;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
FAE180;RTOT4,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
FCLTm;UAGDP,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
FE2tm;UAGDP,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
G12MT1;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
G12MT2;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
G13MT;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
G16MT;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
GALU;PPAer,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
GLCNACPT;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
GLCNACT;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
HACD180;RTOT4,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
HEX12;PPItm,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
HMBS;UAGDP,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
HOXG;UAGDP,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
HSD180;RTOT4,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
LEUt4;LEUtec,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
M13N2Tg;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
M4MPDOL_ter;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
M7MASNBterg;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
MAN1PT2;UDPGD,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
MAN6PI;UDPGD,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
MANter;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
MANtg;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
MG1er;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
MG2er;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
MG3er;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
MI1PP;PIK4,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
MM8Ber;NDP7er,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
NDP7er;UAGDP,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
NDP7er;UDPDOLPT,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
O2t;SBTR,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
O2t;SBT_Dtde,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
PGMT;PPAer,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
PIK4;PIPLC,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
PMANM;UDPGD,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
PPBNGS;UAGDP,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
PPPG9tm;UAGDP,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
PPPGOm;UAGDP,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
RPE;TALA,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
TALA;TKT1,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
TALA;TKT2,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
TECR180;RTOT4,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
UAGDP;UDPGD,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
UAGDP;UDPGLCAter,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
UAGDP;UPP3S,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
UAGDP;UPPDC1,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
UDPGD;UGLCNACtg,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
VALt4;VALtec,5,0,24,26,0.0341371540039686,Inf,-Inf,Inf
