SingleLethal,Counts in Normal,Counts in Cancer,Not SL in Normal,Not SL in Cancer
10FTHFtm,2,8,24,16
2DR1PP,1,0,25,24
2HBFORte,0,1,26,23
34DHPHAMT,3,0,23,24
34DHPLACOXy,3,0,23,24
34HPLFM,2,1,24,23
3DPHBH1,1,1,25,23
3DPHBH2,1,0,25,24
3DSPHR,26,24,0,0
3HAD100,26,24,0,0
3HAD120,26,24,0,0
3HAD140,26,24,0,0
3HAD160,1,0,25,24
3HAD40,26,24,0,0
3HAD60,26,24,0,0
3HAD80,26,24,0,0
3HLYTCL,3,1,23,23
3MHISc,1,0,25,24
3MOPt2im,0,1,26,23
3MTPte,1,0,25,24
3OAR100,26,24,0,0
3OAR120,26,24,0,0
3OAR140,26,24,0,0
3OAR160,1,0,25,24
3OAR40,26,24,0,0
3OAR60,26,24,0,0
3OAR80,26,24,0,0
3OAS100,26,24,0,0
3OAS120,26,24,0,0
3OAS140,26,24,0,0
3OAS160,1,0,25,24
3OAS60,26,24,0,0
3OAS80,26,24,0,0
3OHGLUTACOAT3t,3,0,23,24
3OHGLUTACte,3,0,23,24
42A12BOOX,3,0,23,24
4HBZCOAFm,2,1,24,23
4HBZFm,2,1,24,23
4MOPt2im,13,9,13,15
4MPTNLte,1,0,25,24
4MPTNLtm,1,0,25,24
5AOPtm,0,1,26,23
7DHCHSTEROLtr,0,2,26,22
AACOAT,1,0,25,24
ACACFORte,7,3,19,21
ACACLACte,4,0,22,24
ACACPYRte,2,1,24,23
ACACT1r,4,3,22,21
ACACT1rm,0,2,26,22
ACACT1x,1,0,25,24
ACACt2,5,1,21,23
ACCOAC,26,24,0,0
ACCOAL2,23,13,3,11
ACETONEt2m,0,1,26,23
ACGAM2E,11,0,15,24
ACGAM6PSi,11,4,15,20
ACGAMPM,11,5,15,19
ACGAMtly,11,0,15,24
ACGLYtc,1,0,25,24
ACGLYte,1,0,25,24
ACITL,0,1,26,23
ACMAT1,26,24,0,0
ACNAMlt,4,0,22,24
ACNMLr,11,0,15,24
ACOAD8m,22,16,4,8
ACOAHim,1,0,25,24
ACOAS,23,13,3,11
ACOATA,26,24,0,0
ACONTa,0,2,26,22
ACONTb,0,2,26,22
ACTNMO,0,1,26,23
ACt2m,1,0,25,24
ADCim,0,1,26,23
ADK1,25,23,1,1
ADK3,1,0,25,24
ADKd,1,0,25,24
ADNK1,3,2,23,22
ADNK4,1,0,25,24
ADNtm,1,1,25,23
ADPT,1,0,25,24
ADRNLPVESSEC,0,1,26,23
ADSK,1,0,25,24
ADSL1,26,24,0,0
ADSL2,26,24,0,0
ADSS,26,24,0,0
AGPAT1,13,11,13,13
AGPAT1m,3,9,23,15
AGTim,0,1,26,23
AHC,3,1,23,23
AHCYStn,3,4,23,20
AHEXASE2ly,2,0,24,24
AHEXASEly,4,0,22,24
AICART,26,24,0,0
AIRCr,26,24,0,0
AKGBHBte,1,0,25,24
AKGBUTte,1,0,25,24
AKGDa1,0,1,26,23
AKGDa2,0,1,26,23
AKGDb,0,1,26,23
AKGFORte,4,0,22,24
AKGGHTRDtm,1,0,25,24
AKGLACte,1,0,25,24
AKGSUCCtm,1,1,25,23
AKGtn,3,3,23,21
ALASm,0,1,26,23
ALATA_Lm,0,1,26,23
ALATRS,26,24,0,0
ALAt2r,0,1,26,23
