SingleLethal,Counts in Normal,Counts in Cancer,Not SL in Normal,Not SL in Cancer
10FTHFtm,0,1,29,20
13DAMPPOX,2,3,27,18
2AOBUTtm,1,0,28,21
3AIB_Dtm,0,2,29,19
3DSPHR,29,21,0,0
3HAD100,29,21,0,0
3HAD120,29,21,0,0
3HAD140,29,21,0,0
3HAD40,29,21,0,0
3HAD60,29,21,0,0
3HAD80,29,21,0,0
3HAO,2,0,27,21
3HPCOAHYDm,1,0,28,21
3HPPDm,1,0,28,21
3OAR100,29,21,0,0
3OAR120,29,21,0,0
3OAR140,29,21,0,0
3OAR40,29,21,0,0
3OAR60,29,21,0,0
3OAR80,29,21,0,0
3OAS100,29,21,0,0
3OAS120,29,21,0,0
3OAS140,29,21,0,0
3OAS60,29,21,0,0
3OAS80,29,21,0,0
4ABUTNDH,2,0,27,21
4ABUTtm,2,0,27,21
4MOPt2im,0,3,29,18
4OHBUTm,3,3,26,18
4OHBUTtce,3,3,26,18
4OHBUTtmc,3,3,26,18
56DTHMtm,0,1,29,20
5AOPtm,0,1,29,20
ABTArm,2,0,27,21
ABUTD,2,3,27,18
ACACPYRtm,5,0,24,21
ACACT1rm,2,0,27,21
ACCOAC,29,21,0,0
ACCOAL2,13,2,16,19
ACGAM6PSi,2,0,27,21
ACGAMPM,2,0,27,21
ACITL,5,8,24,13
ACMAT1,29,21,0,0
ACNMLr,1,0,28,21
ACOA40ORm,1,0,28,21
ACOAD8m,1,12,28,9
ACOAS,13,2,16,19
ACOATA,29,21,0,0
ACOD,1,0,28,21
ACONTa,2,11,27,10
ACONTam,4,1,25,20
ACONTb,4,6,25,15
ACONTbm,3,3,26,18
ACt2m,2,0,27,21
ADK1,12,19,17,2
ADK3,9,0,20,21
ADMDC,2,6,27,15
ADNK1,2,0,27,21
ADNK3,2,0,27,21
ADSL1,29,21,0,0
ADSL2,29,21,0,0
ADSS,29,21,0,0
AGMTm,0,4,29,17
AGPAT1,29,12,0,9
AGTim,0,2,29,19
AHC,3,0,26,21
AICART,29,21,0,0
AIRCr,29,21,0,0
AKGACONtm,0,1,29,20
AKGCITtm,1,0,28,21
AKGDa1,13,2,16,19
AKGDa2,13,2,16,19
AKGDb,13,2,16,19
AKGGHTRDtm,0,1,29,20
AKGICITtm,1,1,28,20
AKGMALtm,2,1,27,20
AKGSUCCtm,1,1,28,20
ALABte,0,2,29,19
ALAHISALAr,2,0,27,21
ALAHISALAt,2,0,27,21
ALASm,0,1,29,20
ALATA_L,7,0,22,21
ALATRS,29,21,0,0
ALDD2y,6,1,23,20
AMETEPMT,8,13,21,8
AMETt2m,1,0,28,21
AMID6,2,0,27,21
AMPt4,1,0,28,21
APAT2rm,2,0,27,21
ARGDCm,0,4,29,17
ARGLYSex,0,3,29,18
ARGTRS,29,21,0,0
ARGt5r,3,16,26,5
ARGtm,0,1,29,20
ARTFR13,29,17,0,4
ARTFR32,6,7,23,14
ARTFR42,5,4,24,17
ARTFR45,1,0,28,21
ARTFR52,0,1,29,20
ARTPLM1,29,21,0,0
ASNN,9,5,20,16
ASNTHRNaEx,0,2,29,19
ASNTRS,29,21,0,0
ASNt4,23,12,6,9
ASPCTr,29,21,0,0
ASPDH,1,0,28,21
ASPPROASCT1,0,2,29,19
ASPTA,1,0,28,21
ASPTAm,1,0,28,21
ASPTRS,29,21,0,0
ASPt6,8,3,21,18
ASPte,1,0,28,21
ATPS4m,13,12,16,9
BALAVECSEC,0,2,29,19
BALAtmr,2,0,27,21
BAMPPALDOX,2,4,27,17
BDHm,1,0,28,21
BETALDHx,1,0,28,21
BETALDHy,1,0,28,21
BHBtm,1,0,28,21
BILDGLCURte,0,1,29,20
BILDGLCURtr,0,1,29,20
BILIRED2,0,1,29,20
BILIRUBtr,0,1,29,20
BPGP,0,1,29,20
BUP2,0,2,29,19
C14STRr,29,21,0,0
C160CPT1,2,0,27,21
C3STDH1Pr,25,20,4,1
C3STDH1r,4,1,25,20
C3STKR2r,29,21,0,0
C4STMO1r,29,21,0,0
C4STMO2Pr,26,20,3,1
C4STMO2r,3,1,26,20
CACT3r,2,0,27,21
CACT6r,29,17,0,4
CAT,0,1,29,20
CATm,4,4,25,17
CATp,0,1,29,20
CBPS,29,21,0,0
CDIPTr,29,21,0,0
CDPDAGtm,0,13,29,8
CDS,24,0,5,21
CDSm,0,13,29,8
CEPTC,9,18,20,3
CEPTE,20,2,9,19
CERT2rt,1,0,28,21
CHLPCTD,9,18,20,3
CHOLK,11,20,18,1
CHOLtu,11,8,18,13
CHSTEROLt2,29,9,0,12
CHSTEROLt3,29,9,0,12
CHSTEROLtrc,0,12,29,9
CITMCOAHm,1,0,28,21
CITMCOALm,1,0,28,21
CITOAL,2,0,27,21
CITRt2m,1,0,28,21
CITRtm,1,0,28,21
CITSUCCtm,1,1,28,20
CLS_hs,29,21,0,0
CMPACNAtg,1,0,28,21
CMPSAS,1,0,28,21
CO2ter,29,21,0,0
CO2tm,7,1,22,20
COAtm,11,11,18,10
COAtr,2,0,27,21
COt,0,1,29,20
CPPPGO,0,1,29,20
CTPS1,23,21,6,0
CTPS2,6,0,23,21
CTPtm,0,13,29,8
CYOOm2,27,18,2,3
CYOOm3,2,1,27,20
CYOR_u10m,29,19,0,2
CYSALANaEx,0,2,29,19
CYSTRS,29,21,0,0
CYSt4,22,9,7,12
CYTDn,0,2,29,19
CYTDtn,0,2,29,19
CYTK1,7,0,22,21
CYTK3,14,1,15,20
D3AIBTm,0,2,29,19
DADK1,6,6,23,15
DADK3,8,0,21,21
DADNK,13,6,16,15
DAGKm_hs,0,1,29,20
DAG_Hstem,0,1,29,20
DATPtn,29,21,0,0
DCTPtn,29,21,0,0
DCYTD,0,7,29,14
DESAT16_1,0,1,29,20
DESAT18_1,19,12,10,9
DGK1i,3,2,26,19
DGNSK,3,2,26,19
DGTPtn,29,21,0,0
DGULND,1,0,28,21
DHCR241r,11,6,18,15
DHCR242r,5,1,24,20
DHCR243r,13,14,16,7
DHCR71r,13,14,16,7
DHCR72r,16,7,13,14
DHCRD1,29,21,0,0
DHFR,5,3,24,18
DHFR3m,0,1,29,20
DHFR3x,0,1,29,20
DHFRm,0,1,29,20
DHFRx,1,0,28,21
DHFtm,1,0,28,21
DHORD9,29,21,0,0
DHORTS,29,21,0,0
DHPM2,0,2,29,19
