SingleLethal,Counts in Normal,Counts in Cancer,Not SL in Normal,Not SL in Cancer
10FTHFtm,1,1,18,20
2AOBUTtm,1,1,18,20
2MCITt,0,1,19,20
34HPLFM,0,1,19,20
3DPHBH1,0,1,19,20
3DSPHR,19,21,0,0
3HAD100,19,21,0,0
3HAD120,19,21,0,0
3HAD140,19,21,0,0
3HAD40,19,21,0,0
3HAD60,19,21,0,0
3HAD80,19,21,0,0
3MHISc,0,1,19,20
3MHISt1,1,6,18,15
3MHISt2,1,7,18,14
3MHISt3,1,7,18,14
3OAR100,19,21,0,0
3OAR120,19,21,0,0
3OAR140,19,21,0,0
3OAR40,19,21,0,0
3OAR60,19,21,0,0
3OAR80,19,21,0,0
3OAS100,19,21,0,0
3OAS120,19,21,0,0
3OAS140,19,21,0,0
3OAS60,19,21,0,0
3OAS80,19,21,0,0
3OHGLUTACOAT3t,1,0,18,21
3OHGLUTACte,1,0,18,21
4HBZCOAFm,0,1,19,20
4HBZFm,0,1,19,20
4MOPt2im,2,4,17,17
ACACFORte,6,7,13,14
ACACLACte,2,4,17,17
ACACPYRte,12,0,7,21
ACACRETNte,5,0,14,21
ACACT1rm,4,1,15,20
ACACt2,1,3,18,18
ACCOAC,19,21,0,0
ACCOAL2,19,19,0,2
ACGAM6PSi,5,3,14,18
ACGAMK,0,1,19,20
ACGAMPM,5,3,14,18
ACGAMtly,0,1,19,20
ACMAT1,19,21,0,0
ACOAD8m,15,20,4,1
ACOAHim,0,1,19,20
ACOAS,19,19,0,2
ACOATA,19,21,0,0
ACt2m,0,1,19,20
ADK1,0,13,19,8
ADK3,7,2,12,19
ADK3m,0,1,19,20
ADKd,18,5,1,16
ADNK4,0,1,19,20
ADPT,0,1,19,20
ADPt4,0,2,19,19
ADSK,3,3,16,18
ADSL1,19,21,0,0
ADSL2,19,21,0,0
ADSS,19,21,0,0
AGPAT1,19,21,0,0
AGTim,1,0,18,21
AHC,0,2,19,19
AHCYStn,0,2,19,19
AICART,19,21,0,0
AIRCr,19,21,0,0
AKGBHBte,5,0,14,21
AKGBUTte,4,0,15,21
AKGFORte,10,9,9,12
AKGGHTRDtm,0,3,19,18
AKGLACte,0,10,19,11
AKGSUCCtm,4,4,15,17
AKGtn,0,1,19,20
ALAGLYexR,1,0,18,21
ALATA_L,0,1,19,20
ALATRS,19,21,0,0
ALAt2r,0,7,19,14
ALAt4,1,1,18,20
ALAtN1,8,4,11,17
ALDD19x,5,2,14,19
ALDD19y,5,2,14,19
ALDD2x,0,1,19,20
ALDD2y,18,18,1,3
AMETEPMT,0,3,19,18
AMETt2m,0,1,19,20
AMETtn,0,2,19,19
AMID6,4,5,15,16
AMID6m,1,0,18,21
AMPt4,0,2,19,19
ARACHCOAtr,0,1,19,20
ARGATB0tc,0,1,19,20
ARGLYSex,0,6,19,15
ARGTRS,19,21,0,0
ARGt4,0,3,19,18
ARGt5r,19,11,0,10
ARSA,0,1,19,20
ARTFR13,19,21,0,0
ARTFR207,0,1,19,20
ARTFR32,0,7,19,14
ARTFR42,0,3,19,18
ARTFR45,0,2,19,19
ARTFR52,13,13,6,8
ARTPLM1,19,20,0,1
ARTPLM3,0,1,19,20
ASCBt5,0,1,19,20
ASCBtr,0,1,19,20
ASNTRS,19,21,0,0
ASNt4,8,7,11,14
ASNtN1,10,13,9,8
ASPCTr,19,21,0,0
ASPGLUm,0,1,19,20
ASPOX,0,1,19,20
ASPPROASCT1,1,9,18,12
ASPTA,0,2,19,19
ASPTAm,0,1,19,20
ASPTRS,19,21,0,0
ASPt2e,6,1,13,20
ASPt6,5,4,14,17
ASPte,7,4,12,17
ATPS4m,16,18,3,3
ATPt4,0,1,19,20
ATPtm,4,5,15,16
B3GALTg,2,3,17,18
B3GNT38g,0,1,19,20
B3GNT51g,2,3,17,18
BDMT,3,0,16,21
BETALDHx,2,1,17,20
BETALDHy,2,1,17,20
BHBt,5,0,14,21
BPNT,3,3,16,18
BUTt2r,4,0,15,21
C14STRr,19,21,0,0
C160CPT1,7,16,12,5
C3STDH1Pr,19,19,0,2
C3STDH1r,0,2,19,19
C3STKR2r,19,21,0,0
C4STMO1r,19,21,0,0
C4STMO2Pr,19,21,0,0
CACT3r,7,16,12,5
CACT6r,19,21,0,0
CAT,8,4,11,17
CATm,1,0,18,21
CATp,1,0,18,21
CBPS,19,21,0,0
CDIPTr,19,21,0,0
CDS,19,21,0,0
CEPTC,19,21,0,0
CEPTE,0,2,19,19
CERT1gt,0,1,19,20
CERT2rt,2,3,17,18
CHLPCTD,19,21,0,0
CHOLK,19,21,0,0
CHOLt4,9,1,10,20
CHOLtu,11,19,8,2
CHSTEROLt2,19,20,0,1
CHSTEROLt3,19,20,0,1
CHSTEROLtrc,0,1,19,20
CITRt2m,3,4,16,17
CITRtm,3,4,16,17
CLFORtex,3,2,16,19
CLFORtex2,0,1,19,20
CLS_hs,19,21,0,0
CO2t,2,0,17,21
CO2ter,19,21,0,0
CO2tm,0,6,19,15
CO2tn,0,1,19,20
COAtm,19,21,0,0
COAtr,6,5,13,16
COQ3m,0,1,19,20
COQ5m,0,1,19,20
COQ6m,0,1,19,20
COQ7m,0,1,19,20
COUCOAFm,0,1,19,20
CTPS1,10,16,9,5
CTPS2,8,5,11,16
CYOOm2,18,18,1,3
CYOOm3,1,2,18,19
CYOR_u10m,19,20,0,1
CYSGLYex,2,2,17,19
CYSSNAT5tc,10,11,9,10
CYSTGL,0,1,19,20
CYSTHRNaEx,0,1,19,20
CYSTRS,19,21,0,0
CYSTS,0,1,19,20
CYSt4,7,5,12,16
CYTDn,3,1,16,20
CYTDtn,3,1,16,20
CYTK1,0,11,19,10
CYTK3,1,4,18,17
CYTK8,15,5,4,16
DADK3,18,5,1,16
DATPtn,19,21,0,0
DCTPtn,19,21,0,0
DCYTD,2,1,17,20
DECDPtm,0,1,19,20
DESAT18_1,0,12,19,9
DGTPtn,19,21,0,0
DHCR241r,10,6,9,15
DHCR242r,0,1,19,20
DHCR243r,9,14,10,7
DHCR71r,9,14,10,7
DHCR72r,10,7,9,14
DHCRD1,18,21,1,0
DHDPBMTm,0,1,19,20
DHFR,9,7,10,14
DHFR3x,1,0,18,21
DHFRx,5,6,14,15
DHFtm,5,6,14,15
DHORD9,19,21,0,0
DHORTS,19,21,0,0
DHRT_ivcoa,15,20,4,1
DIGALSGALSIDEte,0,1,19,20
DIGALSGALSIDEtg,0,1,19,20
DLD,15,20,4,1
DMATTx,19,21,0,0
DNAsyn,19,21,0,0
DNDPt42m,0,1,19,20
DOLASNTer,3,0,16,21
DOLDPPer,3,0,16,21
DOLGLCP_ter,3,0,16,21
DOLMANP_ter,3,0,16,21
DOLPGT1er,3,0,16,21
DOLPGT2er,3,0,16,21
DOLPGT3er,3,0,16,21
DOLPMT,3,0,16,21
DOLPMT1er,3,0,16,21
DOLPMT2_er,3,0,16,21
DOLPMT3er,3,0,16,21
DOLPMT4_er,3,0,16,21
DOLP_ter,3,0,16,21
DPHMBDCm,0,1,19,20
DPMVDc,19,21,0,0
DPPS,0,1,19,20
DSAT,19,21,0,0
DTMPK,19,21,0,0
DTTPtn,19,21,0,0
DUMPtm,0,1,19,20
DURIK1,2,1,17,20
DUTCP,3,1,16,20
DUTPDPm,0,1,19,20
EAR100y,19,21,0,0
EAR120y,19,21,0,0
EAR140y,19,21,0,0
EAR40y,19,21,0,0
EAR60y,19,21,0,0
EAR80y,19,21,0,0
EBP1r,9,15,10,6
EBP2r,10,6,9,15
ENO,19,20,0,1
ETHP,0,1,19,20
FA140ACPH,19,21,0,0
FACOAL140i,1,1,18,20
FADH2ETC,0,1,19,20
FAE180,13,20,6,1
FAE200,13,14,6,7
FAE201,0,2,19,19
FAE220,13,13,6,8
FAE221,0,2,19,19
FAE240,13,13,6,8
FAE241,0,2,19,19
FAE260,13,13,6,8
FALDtn,0,1,19,20
FBA,11,17,8,4
FBA3,7,4,12,17
FCYTOB5OXRr,17,20,2,1
FCYTOB5OXRyr,2,1,17,20
FOLt2,1,0,18,21
FORLACte,0,2,19,19
FORtr,19,21,0,0
FRDPtc,0,1,19,20
FRDPtr,19,21,0,0
FUCACGALFUCGALACGLCGALGLUSIDEte,2,1,17,20
FUCACGALFUCGALACGLCGALGLUSIDEtg,2,1,17,20
FUM,1,7,18,14
FUMMALtm,15,13,4,8
FUMSUCCtm,0,1,19,20
FUMm,17,14,2,7
FUT121g,2,1,17,20
FUT33g,2,1,17,20
G12MT1,3,0,16,21
G12MT2,3,0,16,21
G13MT,3,0,16,21
G16MT,3,0,16,21
G3PD1,19,21,0,0
G6PDH2r,16,8,3,13
GAL3ST11,0,1,19,20
GAL3ST12,0,1,19,20
GALGLUSIDEtg,2,3,17,18
GALGLUSIDEtr,2,3,17,18
GALSIDEtg,0,1,19,20
GALSIDEtl,0,1,19,20
GALU,5,4,14,17
GAPD,19,20,0,1
GARFT,19,21,0,0
GCC2am,1,0,18,21
GCC2bim,1,0,18,21
GDPFUCtg,2,3,17,18
GDPtg,2,3,17,18
GF6PTA,5,3,14,18
GFUCSx,2,2,17,19
GGTA1g,2,1,17,20
GGTAe2,8,4,11,17
GHMT2r,19,21,0,0
GHMT2rm,0,1,19,20
GK1i,19,21,0,0
GLACter,0,1,19,20
GLCNACPT,3,0,16,21
GLCNACT,3,0,16,21
GLCURter,0,1,19,20
GLCURtly,0,1,19,20
GLCt1r,13,13,6,8
GLCt4,6,4,13,17
GLCt4_2,0,1,19,20
GLCter,3,0,16,21
GLNTRS,19,21,0,0
GLNt4,4,5,15,16
GLNtN1,11,12,8,9
GLNtm,1,1,18,20
GLRASE,0,1,19,20
GLUCYS,8,4,11,17
GLUDC,1,0,18,21
GLUDxm,5,12,14,9
GLUDym,3,4,16,17
GLUNm,0,1,19,20
GLUPROASCT1,0,1,19,20
GLUPRT,19,21,0,0
GLUTRS,19,21,0,0
GLUt6,0,3,19,18
GLXtm,1,0,18,21
GLXtp,1,0,18,21
GLYATm,4,1,15,20
GLYC3Ptm,0,1,19,20
GLYC3Ptmc,0,1,19,20
GLYOp,1,0,18,21
GLYSNAT5tc,3,2,16,19
GLYTRS,19,21,0,0
GLYt2r,3,2,16,19
GLYtm,6,2,13,19
GMAND,2,3,17,18
GMPS,8,12,11,9
GMPS2,14,12,5,9
GMPtg,2,3,17,18
GND,16,8,3,13
GPAM_hs,19,21,0,0
GPAT,4,5,15,16
GPATm,1,0,18,21
GRTTx,19,21,0,0
GTHP,0,1,19,20
GTHRDte,8,4,11,17
GTHS,8,4,11,17
GTPGDPtm,0,1,19,20
GULLACter,0,1,19,20
GULOer,0,1,19,20
H2O2syn,7,1,12,20
H2O2t,1,0,18,21
H2O2ter,0,1,19,20
H2O2tm,1,0,18,21
H2O2tp,1,0,18,21
H2Ot,0,2,19,19
H2Oter,7,3,12,18
H2Otg,5,4,14,17
H2Otly,0,1,19,20
H2Otm,0,1,19,20
H2Otn,3,1,16,20
H3K27MET_1,0,1,19,20
H3K27MET_2,0,1,19,20
H3K27MET_3,0,1,19,20
H3K27_synthesis,0,1,19,20
HACD180,13,20,6,1
HACD200,13,14,6,7
HACD201,0,2,19,19
HACD220,13,13,6,8
HACD221,0,2,19,19
HACD240,13,13,6,8
HACD241,0,2,19,19
HACD260,13,13,6,8
HAS1,0,1,19,20
HAS2,0,1,19,20
HAtly,0,1,19,20
HBZOPT10m,0,1,19,20
HCO3E,8,6,11,15
