CollateralLethal,DoubleLethalR1,DoubleLethalR2
ADK1,ADK1,ADK3
DESAT18_1,DESAT18_1,ARTFR33
RTOT3,DESAT18_1,RTOT3
CO2tm,RTOT3,RTOT5
3MHISt3,CO2tm,HCO3tm
FAE180,CO2tm,PGAM1_PhosHydro
HACD180,3MHISt3,PHEt4
NaN,FAE180,FAE181
NaN,FAE180,HACD181
NaN,FAE180,HSD181
NaN,FAE180,OCTD11ECOAtr
NaN,FAE180,TECR181
NaN,FAE180,ARTFR33
NaN,FAE180,G3PD2m
NaN,FAE180,RTOT3
NaN,HACD180,HACD181
NaN,HACD180,HSD181
NaN,HACD180,OCTD11ECOAtr
NaN,HACD180,TECR181
NaN,HACD180,ARTFR33
NaN,HACD180,RTOT3
NaN,HSD180,HSD181
NaN,HSD180,OCTD11ECOAtr
NaN,HSD180,TECR181
NaN,HSD180,ARTFR33
NaN,HSD180,RTOT3
NaN,TECR180,TECR181
NaN,TECR180,ARTFR33
NaN,TECR180,RTOT3
NaN,ACACPYRte,ALAt2r
NaN,Htx,RTOT3
NaN,3HDH224n6p,RTOT3
NaN,FAE180,RTOT3
NaN,HACD180,RTOT3
NaN,HSD180,RTOT3
NaN,NADHtpu,RTOT3
NaN,NADtx,RTOT3
NaN,TECR180,RTOT3
NaN,3HAD241n9p,RTOT3
NaN,ACACT224n6p,RTOT3
NaN,ACOAD241n9p,RTOT3
NaN,ARCOAATp,RTOT3
NaN,ARTFR56,RTOT3
NaN,CACT7p,RTOT3
NaN,COAtp,RTOT3
NaN,CSNATp,RTOT3
NaN,CSNATr,RTOT3
NaN,DESAT18_1,RTOT3
NaN,FAE201,RTOT3
NaN,FAE221,RTOT3
NaN,FAE224,RTOT3
NaN,FAE241,RTOT3
NaN,FAE244,RTOT3
NaN,HACD201,RTOT3
NaN,HACD221,RTOT3
NaN,HACD224,RTOT3
NaN,HACD241,RTOT3
NaN,HACD244,RTOT3
NaN,HSD201,RTOT3
NaN,HSD221,RTOT3
NaN,HSD224,RTOT3
NaN,HSD241,RTOT3
NaN,HSD244,RTOT3
NaN,NRVNCCOAtr,RTOT3
NaN,NRVNCCOAtxc,RTOT3
NaN,TECR201,RTOT3
NaN,TECR221,RTOT3
NaN,TECR224,RTOT3
NaN,TECR241,RTOT3
NaN,TECR244,RTOT3
NaN,TTCTECOAtr,RTOT3
NaN,Htx,RTOT4
NaN,DESAT16_1,FAE180
NaN,DESAT16_1,HACD180
NaN,FAE181,HACD180
NaN,G3PD2m,HACD180
NaN,DESAT16_1,HSD180
NaN,FAE181,HSD180
NaN,HACD181,HSD180
NaN,G3PD2m,HSD180
NaN,DESAT16_1,TECR180
NaN,FAE181,TECR180
NaN,HACD181,TECR180
NaN,HSD181,TECR180
NaN,OCTD11ECOAtr,TECR180
NaN,G3PD2m,TECR180
