DoubleLethal,CountsInNormal,CountsInCancer,NotSLInNormal,NotSLInCancer,p-value,OddsRatio,ConfidenceInterval-I,ConfidenceInterval-II
Htx;RTOT3,7,0,12,21,0.00270270270270271,Inf,-Inf,Inf
ADK1;ADK3,10,3,9,18,0.0116195171812524,6.66666666666667,0.906550252866395,49.0259026500923
3HDH224n6p;RTOT3,5,0,14,21,0.0176715176715176,Inf,-Inf,Inf
3MHISt3;PHEt4,5,0,14,21,0.0176715176715176,Inf,-Inf,Inf
ACACPYRte;ALAt2r,5,0,14,21,0.0176715176715176,Inf,-Inf,Inf
Htx;RTOT4,5,0,14,21,0.0176715176715176,Inf,-Inf,Inf
DESAT16_1;FAE180,6,1,13,20,0.0332640332640333,9.23076923076923,0.493069536778388,172.809500964998
DESAT16_1;HACD180,6,1,13,20,0.0332640332640333,9.23076923076923,0.493069536778388,172.809500964998
DESAT16_1;HSD180,6,1,13,20,0.0332640332640333,9.23076923076923,0.493069536778388,172.809500964998
DESAT16_1;TECR180,6,1,13,20,0.0332640332640333,9.23076923076923,0.493069536778388,172.809500964998
FAE180;FAE181,6,1,13,20,0.0332640332640333,9.23076923076923,0.493069536778388,172.809500964998
FAE180;HACD181,6,1,13,20,0.0332640332640333,9.23076923076923,0.493069536778388,172.809500964998
FAE180;HSD181,6,1,13,20,0.0332640332640333,9.23076923076923,0.493069536778388,172.809500964998
FAE180;OCTD11ECOAtr,6,1,13,20,0.0332640332640333,9.23076923076923,0.493069536778388,172.809500964998
FAE180;TECR181,6,1,13,20,0.0332640332640333,9.23076923076923,0.493069536778388,172.809500964998
FAE181;HACD180,6,1,13,20,0.0332640332640333,9.23076923076923,0.493069536778388,172.809500964998
FAE181;HSD180,6,1,13,20,0.0332640332640333,9.23076923076923,0.493069536778388,172.809500964998
FAE181;TECR180,6,1,13,20,0.0332640332640333,9.23076923076923,0.493069536778388,172.809500964998
HACD180;HACD181,6,1,13,20,0.0332640332640333,9.23076923076923,0.493069536778388,172.809500964998
HACD180;HSD181,6,1,13,20,0.0332640332640333,9.23076923076923,0.493069536778388,172.809500964998
HACD180;OCTD11ECOAtr,6,1,13,20,0.0332640332640333,9.23076923076923,0.493069536778388,172.809500964998
HACD180;TECR181,6,1,13,20,0.0332640332640333,9.23076923076923,0.493069536778388,172.809500964998
HACD181;HSD180,6,1,13,20,0.0332640332640333,9.23076923076923,0.493069536778388,172.809500964998
